LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 38094, 0, 18.239215821389195, 49.75328947368421, 18.238737038981494,
1, 7949, 0, 9.862875833438169, 49.0, 9.861635220125788,
2, 38179, 0, 51.55451950024883, 74.28668478260869, 51.55316919853327,
3, 3121, 0, 18.840115347644986, 43.75, 18.834080717488792,
4, 3121, 0, 28.260173021467477, 65.625, 28.251121076233183,
5, 6707, 0, 68.03339794244819, 88.02083333333334, 68.02325581395348,
6, 3121, 0, 4.710028836911246, 10.9375, 4.708520179372198,
7, 3269, 0, 13.765677577240746, 22.5, 13.761467889908257,
8, 3121, 0, 9.420057673822493, 21.875, 9.417040358744396,
9, 3569, 0, 43.93387503502382, 87.5, 43.921568627450974,
10, 3569, 0, 43.93387503502382, 87.5, 43.921568627450974,
11, 16871, 0, 54.09282200225238, 66.015625, 54.08961593172119,
12, 3569, 0, 10.983468758755954, 21.875, 10.980392156862743,
13, 5269, 0, 51.24312013664832, 67.5, 51.23339658444023,
14, 3569, 0, 21.96693751751191, 43.75, 21.960784313725487,
15, 2935, 0, 37.56388415672913, 57.421875, 37.55108991825613,
16, 1467, 0, 37.576687116564415, 57.421875, 37.55108991825613,
17, 4471, 0, 35.327667188548425, 45.703125, 35.31976744186046,
18, 1467, 0, 6.262781186094069, 9.5703125, 6.2585149863760225,
19, 653, 0, 17.94601837672282, 29.296875, 17.918577981651378,
20, 1467, 0, 25.051124744376278, 38.28125, 25.03405994550409,
21, 3063, 0, 31.994776363042767, 47.8515625, 31.98433420365535,
22, 1531, 0, 44.80731548007838, 66.9921875, 44.778067885117494,
23, 5047, 0, 39.320388349514566, 49.21875, 39.312599049128366,
24, 1531, 0, 9.601567602873939, 14.35546875, 9.595300261096606,
25, 853, 0, 27.476553341148886, 39.0625, 27.444379391100703,
26, 1531, 0, 25.604180274330503, 38.28125, 25.587467362924283,
27, 1531, 0, 51.208360548661005, 76.5625, 51.174934725848566,
28, 1531, 0, 51.208360548661005, 76.5625, 51.174934725848566,
29, 5623, 0, 46.09638982749422, 56.25, 46.088193456614505,
30, 1531, 0, 9.601567602873939, 14.35546875, 9.595300261096606,
31, 555, 0, 3.310810810810811, 38.28125, 3.304856115107914,
32, 1531, 0, 25.604180274330503, 38.28125, 25.587467362924283,
33, 1531, 0, 44.80731548007838, 66.9921875, 44.778067885117494,
34, 3063, 0, 28.79529872673849, 43.06640625, 28.78590078328982,
35, 9299, 0, 35.27798688030971, 42.1875, 35.2741935483871,
36, 1531, 0, 12.802090137165251, 19.140625, 12.793733681462141,
37, 1053, 0, 29.677113010446345, 39.0625, 29.648956356736246,
38, 1531, 0, 25.604180274330503, 38.28125, 25.587467362924283,
39, 3127, 0, 51.7109050207867, 76.5625, 51.69437340153452,
40, 3127, 0, 32.319315637991686, 47.8515625, 32.30898337595908,
41, 10163, 0, 39.850437862835776, 46.875, 39.84651711924439,
42, 1563, 0, 12.931861804222649, 19.140625, 12.92359335038363,
43, 1053, 0, 59.35422602089269, 78.125, 59.29791271347249,
44, 1563, 0, 51.727447216890596, 76.5625, 51.69437340153452,
45, 2171, 0, 29.34131736526946, 38.28125, 29.32780847145488,
46, 1571, 0, 16.204348345003183, 23.92578125, 16.194040235368956,
47, 5081, 0, 13.838319228498326, 16.276041666666664, 13.83559622195986,
48, 1085, 0, 7.338709677419355, 9.5703125, 7.33195211786372,
49, 1053, 0, 5.3418803418803416, 7.03125, 5.336812144212524,
50, 1085, 0, 29.35483870967742, 38.28125, 29.32780847145488,
51, 3257, 0, 29.336813018114828, 38.28125, 29.32780847145488,
52, 2171, 0, 22.005988023952096, 28.7109375, 21.995856353591158,
53, 5945, 0, 17.03111858704794, 19.53125, 17.028254288597378,
54, 1085, 0, 11.008064516129032, 14.35546875, 10.997928176795579,
55, 1053, 0, 5.3418803418803416, 7.03125, 5.336812144212524,
56, 1085, 0, 29.35483870967742, 38.28125, 29.32780847145488,
57, 10223, 0, 0.6113665264599433, 0.762939453125, 0.6113067292644757,
