LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 24617.0, 1778700, 1.0, 12610.0, 9408, 255.0, 24899.0, 1548800, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 17052.0, 28871.0, 1548927,
1, 129.0, 3327.0, 200704, 65.0, 128.0, 4096, 255.0, 3453.0, 200704, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 3517.0, 5084.0, 200704,
2, 129.0, 32789.0, 3359232, 1.0, 29810.0, 110592, 255.0, 32915.0, 2799360, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 9274.0, 38465.0, 2799487,
3, 129.0, 2141.0, 150528, 1.0, 1294.0, 12288, 255.0, 2267.0, 100352, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 2331.0, 3114.0, 100352,
4, 129.0, 2141.0, 150528, 1.0, 1294.0, 18432, 255.0, 2299.0, 150528, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 2331.0, 3506.0, 150528,
5, 129.0, 7247.0, 584064, 1.0, 6476.0, 110592, 255.0, 7405.0, 605696, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 7405.0, 12136.0, 605696,
6, 129.0, 2141.0, 150528, 1.0, 1294.0, 3072, 255.0, 2219.0, 25088, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 2331.0, 2526.0, 25088,
7, 129.0, 3593.0, 230400, 1.0, 3002.0, 12800, 255.0, 3735.0, 73728, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 3831.0, 4406.0, 73728,
8, 129.0, 2141.0, 150528, 1.0, 1294.0, 6144, 255.0, 2235.0, 50176, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 2331.0, 2722.0, 50176,
9, 129.0, 2205.0, 200704, 1.0, 1294.0, 32768, 255.0, 2331.0, 200704, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 2331.0, 3898.0, 200704,
10, 129.0, 2205.0, 200704, 1.0, 1294.0, 32768, 255.0, 2331.0, 200704, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 2331.0, 3898.0, 200704,
11, 129.0, 18917.0, 1557504, 1.0, 18114.0, 221184, 255.0, 18979.0, 1168128, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 16316.0, 19977.0, 1168255,
12, 129.0, 2205.0, 200704, 1.0, 1294.0, 8192, 255.0, 2235.0, 50176, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 2331.0, 2722.0, 50176,
13, 129.0, 6483.0, 460800, 1.0, 5876.0, 76800, 255.0, 6673.0, 387072, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 6705.0, 9728.0, 387072,
14, 129.0, 2205.0, 200704, 1.0, 1294.0, 16384, 255.0, 2267.0, 100352, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 2331.0, 3114.0, 100352,
15, 129.0, 4465.0, 188160, 1.0, 4174.0, 92160, 255.0, 4559.0, 150528, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 4623.0, 5798.0, 150528,
16, 129.0, 2153.0, 94080, 1.0, 1862.0, 46080, 255.0, 2279.0, 75264, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 2311.0, 2898.0, 75264,
17, 129.0, 7205.0, 248832, 1.0, 6966.0, 179712, 255.0, 7315.0, 209664, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 7363.0, 9000.0, 209664,
18, 129.0, 2153.0, 94080, 1.0, 1862.0, 7680, 255.0, 2199.0, 12544, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 2311.0, 2408.0, 12544,
19, 129.0, 1689.0, 40000, 1.0, 1574.0, 19200, 255.0, 1847.0, 19200, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 1927.0, 2076.0, 19200,
20, 129.0, 2153.0, 94080, 1.0, 1862.0, 30720, 255.0, 2247.0, 50176, -12583.0, -1.0, 94080, -6292.0, -1.0, 30720, 2311.0, 2702.0, 50176,
21, 129.0, 4497.0, 200704, 1.0, 4174.0, 81920, 255.0, 4527.0, 125440, -12583.0, -1.0, 100352, -12583.0, -1.0, 81920, 4623.0, 5602.0, 125440,
22, 129.0, 2185.0, 100352, 1.0, 1862.0, 57344, 255.0, 2295.0, 87808, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 2311.0, 2996.0, 87808,
23, 129.0, 8273.0, 290304, 1.0, 8018.0, 225792, 255.0, 8383.0, 258048, -6292.0, -1.0, 21952, -25166.0, -1.0, 225792, 8415.0, 10430.0, 258048,
24, 129.0, 2185.0, 100352, 1.0, 1862.0, 12288, 255.0, 2207.0, 18816, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 2311.0, 2457.0, 18816,
25, 129.0, 2243.0, 60000, 1.0, 2056.0, 38400, 255.0, 2345.0, 32000, -6292.0, -1.0, 4704, -6292.0, -1.0, 38400, 2409.0, 2658.0, 32000,
26, 129.0, 2185.0, 100352, 1.0, 1862.0, 32768, 255.0, 2247.0, 50176, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 2311.0, 2702.0, 50176,
27, 129.0, 2185.0, 100352, 1.0, 1862.0, 65536, 255.0, 2311.0, 100352, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 2311.0, 3094.0, 100352,
28, 129.0, 2185.0, 100352, 1.0, 1862.0, 65536, 255.0, 2311.0, 100352, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 2311.0, 3094.0, 100352,
29, 129.0, 9341.0, 331776, 1.0, 9070.0, 294912, 255.0, 9467.0, 331776, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 9467.0, 12058.0, 331776,
30, 129.0, 2185.0, 100352, 1.0, 1862.0, 12288, 255.0, 2207.0, 18816, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 2311.0, 2457.0, 18816,
31, 129.0, 347.0, 4704, 105.0, 128.0, 1536, 255.0, 513.0, 12544, -6292.0, -1.0, 4704, -6292.0, -1.0, 1536, 577.0, 674.0, 12544,
32, 129.0, 2185.0, 100352, 1.0, 1862.0, 32768, 255.0, 2247.0, 50176, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 2311.0, 2702.0, 50176,
33, 129.0, 2185.0, 100352, 1.0, 1862.0, 57344, 255.0, 2295.0, 87808, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 2311.0, 2996.0, 87808,
34, 129.0, 4497.0, 200704, 1.0, 4174.0, 73728, 255.0, 4511.0, 112896, -12583.0, -1.0, 100352, -12583.0, -1.0, 73728, 4623.0, 5504.0, 112896,
