LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 51725.0, 1778700, 1.0, 51807.0, 1787520, 146.0, 51869.0, 798720, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 51869.0, 63968.0, 774400,
1, 1.0, 9247.0, 200704, 1.0, 9247.0, 200704, 63.0, 9309.0, 206976, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 9309.0, 12444.0, 200704,
2, 1.0, 96785.0, 5038848, 1.0, 96813.0, 5087232, 575.0, 96875.0, 577536, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 96875.0, 105622.0, 559872,
3, 1.0, 4023.0, 150528, 1.0, 4071.0, 159744, 191.0, 4133.0, 51840, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 4133.0, 4916.0, 50176,
4, 1.0, 8157.0, 301056, 1.0, 8173.0, 239616, 191.0, 8235.0, 78592, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 8267.0, 9442.0, 75264,
5, 1.0, 21689.0, 1168128, 1.0, 21717.0, 1216512, 863.0, 21779.0, 89344, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 21779.0, 23130.0, 86528,
6, 1.0, 4023.0, 150528, 1.0, 4023.0, 39936, 191.0, 4085.0, 14208, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 4133.0, 4328.0, 12544,
7, 1.0, 4671.0, 230400, 1.0, 4639.0, 115200, 399.0, 4701.0, 19584, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 4733.0, 5020.0, 18432,
8, 1.0, 4023.0, 150528, 1.0, 4039.0, 79872, 191.0, 4101.0, 26752, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 4133.0, 4524.0, 25088,
9, 1.0, 9821.0, 401408, 1.0, 9869.0, 425984, 255.0, 9931.0, 103680, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 9931.0, 11498.0, 100352,
10, 1.0, 9821.0, 401408, 1.0, 9869.0, 425984, 255.0, 9931.0, 103680, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 9931.0, 11498.0, 100352,
11, 1.0, 42083.0, 2336256, 1.0, 42111.0, 2433024, 1151.0, 42173.0, 134016, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 42173.0, 44200.0, 129792,
12, 1.0, 4855.0, 200704, 1.0, 4871.0, 106496, 255.0, 4933.0, 26752, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 4965.0, 5356.0, 25088,
13, 1.0, 16605.0, 921600, 1.0, 16573.0, 691200, 799.0, 16635.0, 57600, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 16667.0, 17530.0, 55296,
14, 1.0, 4855.0, 200704, 1.0, 4903.0, 212992, 255.0, 4965.0, 51840, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 4965.0, 5748.0, 50176,
15, 1.0, 7149.0, 282240, 1.0, 7209.0, 368640, 479.0, 7271.0, 39168, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 7271.0, 7858.0, 37632,
16, 1.0, 4725.0, 188160, 1.0, 4753.0, 184320, 479.0, 4815.0, 19840, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 4847.0, 5140.0, 18816,
17, 1.0, 11769.0, 497664, 1.0, 11769.0, 539136, 863.0, 11831.0, 31488, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 11879.0, 12346.0, 29952,
18, 1.0, 2301.0, 94080, 1.0, 2313.0, 30720, 479.0, 2375.0, 3648, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 2423.0, 2471.0, 3136,
19, 1.0, 961.0, 40000, 1.0, 973.0, 38400, 399.0, 1035.0, 5056, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 1051.0, 1125.0, 4800,
20, 1.0, 2301.0, 94080, 1.0, 2361.0, 122880, 479.0, 2423.0, 13056, -12583.0, -1.0, 94080, -6292.0, -1.0, 30720, 2423.0, 2618.0, 12544,
21, 1.0, 7533.0, 301056, 1.0, 7561.0, 327680, 511.0, 7623.0, 32896, -12583.0, -1.0, 100352, -12583.0, -1.0, 81920, 7655.0, 8144.0, 31360,
22, 1.0, 4981.0, 200704, 1.0, 5025.0, 229376, 511.0, 5087.0, 22976, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 5103.0, 5445.0, 21952,
23, 1.0, 13497.0, 580608, 1.0, 13513.0, 677376, 1007.0, 13575.0, 33792, -6292.0, -1.0, 21952, -25166.0, -1.0, 225792, 13607.0, 14110.0, 32256,
24, 1.0, 2429.0, 100352, 1.0, 2449.0, 49152, 511.0, 2511.0, 5216, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 2551.0, 2624.0, 4704,
25, 1.0, 1361.0, 60000, 1.0, 1389.0, 76800, 599.0, 1451.0, 6656, -6292.0, -1.0, 4704, -6292.0, -1.0, 38400, 1451.0, 1550.0, 6400,
26, 1.0, 2429.0, 100352, 1.0, 2489.0, 131072, 511.0, 2551.0, 13056, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 2551.0, 2746.0, 12544,
27, 1.0, 4981.0, 200704, 1.0, 5041.0, 262144, 511.0, 5103.0, 26112, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 5103.0, 5494.0, 25088,
28, 1.0, 4981.0, 200704, 1.0, 5041.0, 262144, 511.0, 5103.0, 26112, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 5103.0, 5494.0, 25088,
29, 1.0, 15225.0, 663552, 1.0, 15273.0, 884736, 1151.0, 15335.0, 38400, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 15335.0, 15910.0, 36864,
30, 1.0, 2429.0, 100352, 1.0, 2449.0, 49152, 511.0, 2511.0, 5216, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 2551.0, 2624.0, 4704,
31, 1.0, 477.0, 4704, 1.0, 537.0, 6144, 23.0, 599.0, 13056, -6292.0, -1.0, 4704, -6292.0, -1.0, 1536, 599.0, 794.0, 12544,
32, 1.0, 2429.0, 100352, 1.0, 2489.0, 131072, 511.0, 2551.0, 13056, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 2551.0, 2746.0, 12544,
33, 1.0, 4981.0, 200704, 1.0, 5025.0, 229376, 511.0, 5087.0, 22976, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 5103.0, 5445.0, 21952,
34, 1.0, 7533.0, 301056, 1.0, 7545.0, 294912, 511.0, 7607.0, 29760, -12583.0, -1.0, 100352, -12583.0, -1.0, 73728, 7655.0, 8095.0, 28224,
35, 1.0, 21219.0, 933120, 1.0, 21235.0, 1119744, 1295.0, 21297.0, 43392, -6292.0, -1.0, 28224, -37749.0, -1.0, 373248, 21329.0, 21976.0, 41472,
36, 1.0, 2429.0, 100352, 1.0, 2457.0, 65536, 511.0, 2519.0, 6784, -12583.0, -1.0, 100352, -6292.0, -1.0, 16384, 2551.0, 2648.0, 6272,
37, 1.0, 1761.0, 80000, 1.0, 1789.0, 102400, 799.0, 1851.0, 6656, -6292.0, -1.0, 6272, -6292.0, -1.0, 51200, 1851.0, 1950.0, 6400,
38, 1.0, 2429.0, 100352, 1.0, 2489.0, 131072, 511.0, 2551.0, 13056, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 2551.0, 2746.0, 12544,
39, 1.0, 10341.0, 413952, 1.0, 10401.0, 540672, 527.0, 10463.0, 52224, -12583.0, -1.0, 103488, -18875.0, -1.0, 135168, 10463.0, 11246.0, 50176,
40, 1.0, 7725.0, 310464, 1.0, 7753.0, 337920, 527.0, 7815.0, 32896, -12583.0, -1.0, 103488, -12583.0, -1.0, 84480, 7847.0, 8336.0, 31360,
41, 1.0, 23379.0, 1036800, 1.0, 23427.0, 1382400, 1439.0, 23489.0, 48000, -6292.0, -1.0, 31360, -50332.0, -1.0, 460800, 23489.0, 24208.0, 46080,
42, 1.0, 2493.0, 103488, 1.0, 2521.0, 67584, 527.0, 2583.0, 6784, -12583.0, -1.0, 103488, -6292.0, -1.0, 16896, 2615.0, 2712.0, 6272,
43, 1.0, 3613.0, 160000, 1.0, 3641.0, 204800, 799.0, 3703.0, 13312, -6292.0, -1.0, 6272, -12583.0, -1.0, 102400, 3703.0, 3902.0, 12800,
44, 1.0, 5109.0, 206976, 1.0, 5169.0, 270336, 527.0, 5231.0, 26112, -12583.0, -1.0, 103488, -12583.0, -1.0, 67584, 5231.0, 5622.0, 25088,
45, 1.0, 3754.0, 163072, 1.0, 3769.0, 212992, 846.0, 3831.0, 13056, -6292.0, -1.0, 40768, -25166.0, -1.0, 212992, 3831.0, 4026.0, 12544,
46, 1.0, 1896.0, 78204, 1.0, 1879.0, 85120, 546.0, 1941.0, 8224, -6292.0, -1.0, 26068, -12583.0, -1.0, 85120, 1973.0, 2095.0, 7840,
47, 1.0, 7728.0, 180000, 1.0, 7767.0, 460800, 1478.0, 7829.0, 8640, -6292.0, -1.0, 7840, -50332.0, -1.0, 460800, 7829.0, 7953.0, 8000,
48, 1.0, 880.0, 40768, 1.0, 863.0, 26624, 846.0, 925.0, 1696, -6292.0, -1.0, 40768, -6292.0, -1.0, 26624, 957.0, 981.0, 1568,
49, 1.0, 1734.0, 14400, 1.0, 1789.0, 102400, 854.0, 1851.0, 1408, -6292.0, -1.0, 1568, -12583.0, -1.0, 102400, 1851.0, 1868.0, 1152,
50, 1.0, 1838.0, 81536, 1.0, 1853.0, 106496, 846.0, 1915.0, 6528, -6292.0, -1.0, 40768, -12583.0, -1.0, 106496, 1915.0, 2012.0, 6272,
51, 1.0, 5670.0, 244608, 1.0, 5685.0, 319488, 846.0, 5747.0, 19584, -6292.0, -1.0, 40768, -37749.0, -1.0, 319488, 5747.0, 6040.0, 18816,
52, 1.0, 2796.0, 122304, 1.0, 2811.0, 159744, 846.0, 2873.0, 9792, -6292.0, -1.0, 40768, -18875.0, -1.0, 159744, 2873.0, 3019.0, 9408,
53, 1.0, 11022.0, 259200, 1.0, 11061.0, 663552, 1766.0, 11123.0, 10368, -6292.0, -1.0, 9408, -69206.0, -1.0, 663552, 11123.0, 11272.0, 9600,
54, 1.0, 880.0, 40768, 1.0, 879.0, 39936, 846.0, 941.0, 2480, -6292.0, -1.0, 40768, -6292.0, -1.0, 39936, 957.0, 993.0, 2352,
55, 1.0, 1734.0, 14400, 1.0, 1789.0, 102400, 854.0, 1851.0, 1408, -6292.0, -1.0, 1568, -12583.0, -1.0, 102400, 1851.0, 1868.0, 1152,
56, 1.0, 1838.0, 81536, 1.0, 1853.0, 106496, 846.0, 1915.0, 6528, -6292.0, -1.0, 40768, -12583.0, -1.0, 106496, 1915.0, 2012.0, 6272,
57, 1.0, 18274.0, 16384, 1.0, 18313.0, 1024000, 1086.0, 18375.0, 3048, -6292.0, -1.0, 1024, -106954.0, -1.0, 1024000, 18399.0, 18414.0, 1000,
