LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 36869, 0, 75.38090943611164, 76.5625, 74.99443455031167,
1, 3325, 0, 94.3157894736842, 100.0, 92.53467099439364,
2, 83861, 0, 93.88392697439811, 100.0, 92.01640896181762,
3, 2921, 0, 80.52036973639164, 100.0, 75.60270009643202,
4, 5843, 0, 60.379941810713674, 75.0, 56.70202507232401,
5, 24247, 0, 75.27529178867489, 96.42857142857143, 70.16761494694757,
6, 2921, 0, 20.13009243409791, 25.0, 18.900675024108004,
7, 5361, 0, 33.57582540570789, 44.642857142857146, 31.01843873858349,
8, 2921, 0, 40.26018486819582, 50.0, 37.80135004821601,
9, 7791, 0, 80.50314465408805, 100.0, 75.60270009643202,
10, 7791, 0, 80.50314465408805, 100.0, 75.60270009643202,
11, 46763, 0, 78.0617154588029, 100.0, 72.76641550053822,
12, 3895, 0, 40.25673940949936, 50.0, 37.80135004821601,
13, 19915, 0, 54.230479538036654, 72.11538461538461, 50.106708731557944,
14, 3895, 0, 80.51347881899872, 100.0, 75.60270009643202,
15, 9263, 0, 47.60876605851236, 93.75, 40.924276169265035,
16, 6175, 0, 35.7085020242915, 70.3125, 30.693207126948774,
17, 18703, 0, 33.78067689675453, 78.34821428571429, 28.418495861820798,
18, 3087, 0, 11.904761904761905, 23.4375, 10.231069042316259,
19, 2029, 0, 23.10251355347462, 66.96428571428571, 18.97005261027924,
20, 3087, 0, 47.61904761904762, 93.75, 40.924276169265035,
21, 9263, 0, 42.3189031631221, 83.33333333333334, 36.37713437268004,
22, 6175, 0, 44.43724696356275, 87.5, 38.19599109131403,
23, 21375, 0, 37.136842105263156, 86.1328125, 31.24212846347607,
24, 3087, 0, 19.047619047619047, 37.5, 16.369710467706014,
25, 2899, 0, 32.33873749568817, 93.75, 26.558073654390935,
26, 3087, 0, 50.79365079365079, 100.0, 43.652561247216035,
27, 6175, 0, 50.78542510121458, 100.0, 43.652561247216035,
28, 6175, 0, 50.78542510121458, 100.0, 43.652561247216035,
29, 24047, 0, 43.11556535118726, 100.0, 36.272040302267,
30, 3087, 0, 19.047619047619047, 37.5, 16.369710467706014,
31, 385, 0, 19.09090909090909, 37.5, 16.369710467706014,
32, 3087, 0, 50.79365079365079, 100.0, 43.652561247216035,
33, 6175, 0, 44.43724696356275, 87.5, 38.19599109131403,
34, 9263, 0, 38.08701284680989, 75.0, 32.73942093541203,
35, 35069, 0, 37.41766232284924, 86.78571428571429, 31.478949262324573,
36, 3087, 0, 25.396825396825395, 50.0, 21.826280623608017,
37, 3769, 0, 33.165295834438844, 96.15384615384616, 27.23904990193942,
38, 3087, 0, 50.79365079365079, 100.0, 43.652561247216035,
39, 13895, 0, 46.54911838790932, 91.66666666666666, 40.01484780994804,
40, 10421, 0, 38.79186258516457, 76.38888888888889, 33.34570650829003,
41, 38409, 0, 42.17761462157307, 97.82608695652173, 35.48351768700033,
42, 3473, 0, 23.279585372876475, 45.83333333333333, 20.00742390497402,
43, 7539, 0, 33.160896670645975, 96.15384615384616, 27.23904990193942,
44, 6947, 0, 46.55246869152152, 91.66666666666666, 40.01484780994804,
45, 12427, 0, 20.503741852418123, 100.0, 16.225165562913908,
46, 6452, 0, 15.782412430254185, 76.9675925925926, 12.48811932793721,
47, 24724, 0, 11.375586474680473, 97.82608695652173, 8.797309978104472,
48, 3106, 0, 10.254346426271733, 50.0, 8.112582781456954,
49, 5173, 0, 4.349507055867002, 96.15384615384616, 3.3029947152084556,
50, 6213, 0, 20.50539192016739, 100.0, 16.225165562913908,
51, 18641, 0, 20.503191888847166, 100.0, 16.225165562913908,
52, 9320, 0, 20.50429184549356, 100.0, 16.225165562913908,
53, 34829, 0, 11.628240833787935, 100.0, 8.992805755395683,
54, 3106, 0, 15.381519639407598, 75.0, 12.168874172185431,
55, 5173, 0, 4.349507055867002, 96.15384615384616, 3.3029947152084556,
56, 6213, 0, 20.50539192016739, 100.0, 16.225165562913908,
57, 48895, 0, 0.5112997238981491, 97.65625, 0.3844734251968504,
