LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 590256.0, 1778700, 21.0, 590448.0, 5691840, 39.0, 590479.0, 6195200, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 99979.0, 638094.0, 6195200,
1, 1.0, 76514.0, 200704, 21.0, 76581.0, 643072, 39.0, 76611.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 76615.0, 116755.0, 802816,
2, 1.0, 1058270.0, 1679616, 21.0, 1058477.0, 16146432, 39.0, 1058495.0, 16236288, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 68311.0, 1083880.0, 16236288,
3, 1.0, 48698.0, 150528, 21.0, 48773.0, 491520, 39.0, 48783.0, 501760, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 48799.0, 73886.0, 501760,
4, 1.0, 61466.0, 150528, 21.0, 61573.0, 737280, 39.0, 61583.0, 752640, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 61599.0, 99230.0, 752640,
5, 1.0, 278090.0, 584064, 21.0, 278221.0, 3760128, 39.0, 278251.0, 3807232, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 76199.0, 311330.0, 3807232,
6, 1.0, 29546.0, 150528, 21.0, 29573.0, 122880, 39.0, 29583.0, 125440, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 29599.0, 35870.0, 125440,
7, 1.0, 52130.0, 230400, 21.0, 52181.0, 371200, 39.0, 52195.0, 368640, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 52199.0, 70630.0, 368640,
8, 1.0, 35930.0, 150528, 21.0, 35973.0, 245760, 39.0, 35983.0, 250880, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 35999.0, 48542.0, 250880,
9, 1.0, 96554.0, 200704, 21.0, 96697.0, 1310720, 39.0, 96703.0, 1304576, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 76199.0, 109518.0, 1304576,
10, 1.0, 96554.0, 200704, 21.0, 96697.0, 1310720, 39.0, 96703.0, 1304576, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 76199.0, 109518.0, 1304576,
11, 1.0, 492770.0, 778752, 21.0, 492973.0, 7520256, 39.0, 492995.0, 7527936, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 68311.0, 502393.0, 7527936,
12, 1.0, 46730.0, 200704, 21.0, 46777.0, 327680, 39.0, 46783.0, 326144, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 46799.0, 63106.0, 326144,
13, 1.0, 178506.0, 460800, 21.0, 178621.0, 2227200, 39.0, 178635.0, 2211840, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 84145.0, 184373.0, 2211840,
14, 1.0, 63338.0, 200704, 21.0, 63417.0, 655360, 39.0, 63423.0, 652288, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 63439.0, 96053.0, 652288,
15, 1.0, 59770.0, 94080, 21.0, 59981.0, 921600, 39.0, 59995.0, 903168, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 59999.0, 105157.0, 903168,
16, 1.0, 36826.0, 94080, 21.0, 36941.0, 460800, 39.0, 36955.0, 451584, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 36959.0, 59538.0, 451584,
17, 1.0, 93386.0, 124416, 21.0, 93597.0, 1437696, 39.0, 93615.0, 1317888, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 67093.0, 107096.0, 1317888,
18, 1.0, 17706.0, 94080, 21.0, 17741.0, 76800, 39.0, 17755.0, 75264, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 17759.0, 21522.0, 75264,
19, 1.0, 10514.0, 40000, 21.0, 10581.0, 96000, 39.0, 10599.0, 96000, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 10599.0, 15398.0, 96000,
