LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 447659.0, 7114800, 1.0, 447665.0, 5691840, 146.0, 447683.0, 871200, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 447699.0, 486418.0, 774400,
1, 1.0, 64033.0, 802816, 1.0, 64021.0, 643072, 63.0, 64039.0, 225824, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 64055.0, 74090.0, 200704,
2, 1.0, 896417.0, 16796160, 1.0, 896413.0, 16146432, 575.0, 896431.0, 618272, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 896439.0, 924432.0, 559872,
3, 1.0, 36765.0, 602112, 1.0, 36765.0, 491520, 191.0, 36783.0, 56576, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 36799.0, 39307.0, 50176,
4, 1.0, 45965.0, 752640, 1.0, 45977.0, 737280, 191.0, 45995.0, 83264, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 45999.0, 49762.0, 75264,
5, 1.0, 214653.0, 4088448, 1.0, 214645.0, 3760128, 863.0, 214663.0, 96048, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 214675.0, 219001.0, 86528,
6, 1.0, 9165.0, 150528, 1.0, 9177.0, 122880, 191.0, 9195.0, 14144, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 9199.0, 9826.0, 12544,
7, 1.0, 25381.0, 460800, 1.0, 25377.0, 371200, 399.0, 25395.0, 20752, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 25403.0, 26324.0, 18432,
8, 1.0, 18365.0, 301056, 1.0, 18373.0, 245760, 191.0, 18391.0, 28288, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 18399.0, 19653.0, 25088,
9, 1.0, 82285.0, 1404928, 1.0, 82289.0, 1310720, 255.0, 82307.0, 111552, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 82319.0, 87336.0, 100352,
10, 1.0, 82285.0, 1404928, 1.0, 82289.0, 1310720, 255.0, 82307.0, 111552, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 82319.0, 87336.0, 100352,
11, 1.0, 404577.0, 7787520, 1.0, 404573.0, 7520256, 1151.0, 404591.0, 143392, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 404599.0, 411088.0, 129792,
12, 1.0, 23485.0, 401408, 1.0, 23493.0, 327680, 255.0, 23511.0, 28288, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 23519.0, 24773.0, 25088,
13, 1.0, 121487.0, 2304000, 1.0, 121487.0, 2227200, 799.0, 121505.0, 61096, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 121509.0, 124273.0, 55296,
14, 1.0, 47005.0, 802816, 1.0, 47005.0, 655360, 255.0, 47023.0, 56576, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 47039.0, 49547.0, 50176,
15, 1.0, 51777.0, 940800, 1.0, 51773.0, 921600, 479.0, 51791.0, 41632, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 51799.0, 53680.0, 37632,
16, 1.0, 25877.0, 470400, 1.0, 25877.0, 460800, 479.0, 25895.0, 20816, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 25899.0, 26839.0, 18816,
17, 1.0, 79341.0, 1368576, 1.0, 79345.0, 1437696, 863.0, 79363.0, 33472, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 79375.0, 80872.0, 29952,
18, 1.0, 5157.0, 94080, 1.0, 5157.0, 76800, 479.0, 5175.0, 3536, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 5179.0, 5335.0, 3136,
19, 1.0, 6551.0, 120000, 1.0, 6539.0, 96000, 399.0, 6557.0, 5400, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 6569.0, 6808.0, 4800,
20, 1.0, 20697.0, 376320, 1.0, 20685.0, 307200, 479.0, 20703.0, 14144, -12583.0, -1.0, 94080, -6292.0, -1.0, 30720, 20719.0, 21346.0, 12544,
21, 1.0, 43977.0, 802816, 1.0, 43981.0, 819200, 511.0, 43999.0, 34560, -12583.0, -1.0, 100352, -12583.0, -1.0, 81920, 43999.0, 45566.0, 31360,
22, 1.0, 32977.0, 602112, 1.0, 32973.0, 573440, 511.0, 32991.0, 24352, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 32999.0, 34096.0, 21952,
23, 1.0, 100381.0, 1741824, 1.0, 100381.0, 1806336, 1007.0, 100399.0, 36096, -6292.0, -1.0, 21952, -25166.0, -1.0, 225792, 100415.0, 102027.0, 32256,
24, 1.0, 10977.0, 200704, 1.0, 10965.0, 122880, 511.0, 10983.0, 5504, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 10999.0, 11234.0, 4704,
25, 1.0, 12741.0, 240000, 1.0, 12725.0, 192000, 599.0, 12743.0, 7200, -6292.0, -1.0, 4704, -6292.0, -1.0, 38400, 12759.0, 13078.0, 6400,
