LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 21.0, 388913.0, 7114800, 1.0, 376918.0, 9408, 39.0, 389039.0, 6195200, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 52709.0, 436670.0, 6195200,
1, 21.0, 51069.0, 802816, 1.0, 47930.0, 4096, 39.0, 51087.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 51103.0, 91243.0, 802816,
2, 21.0, 862437.0, 16796160, 1.0, 859506.0, 110592, 39.0, 862451.0, 16236288, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 53463.0, 887840.0, 16236288,
3, 21.0, 33653.0, 602112, 1.0, 32858.0, 12288, 39.0, 33663.0, 501760, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 33679.0, 58766.0, 501760,
4, 21.0, 42073.0, 752640, 1.0, 41278.0, 18432, 39.0, 42095.0, 752640, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 42099.0, 79730.0, 752640,
5, 21.0, 226037.0, 4088448, 1.0, 225358.0, 110592, 39.0, 226059.0, 3807232, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 56943.0, 259146.0, 3807232,
6, 21.0, 8393.0, 150528, 1.0, 7598.0, 3072, 39.0, 8415.0, 125440, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 8419.0, 14690.0, 125440,
7, 21.0, 25341.0, 460800, 1.0, 24746.0, 12800, 39.0, 25351.0, 368640, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 25359.0, 43790.0, 368640,
8, 21.0, 16813.0, 301056, 1.0, 16018.0, 6144, 39.0, 16831.0, 250880, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 16839.0, 29382.0, 250880,
9, 21.0, 76599.0, 1404928, 1.0, 75800.0, 32768, 39.0, 76609.0, 1304576, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 56305.0, 89420.0, 1304576,
10, 21.0, 76599.0, 1404928, 1.0, 75800.0, 32768, 39.0, 76609.0, 1304576, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 56305.0, 89420.0, 1304576,
11, 21.0, 425693.0, 7787520, 1.0, 425006.0, 221184, 39.0, 425711.0, 7527936, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 56943.0, 435113.0, 7527936,
12, 21.0, 21869.0, 401408, 1.0, 21070.0, 8192, 39.0, 21883.0, 326144, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 21891.0, 38198.0, 326144,
13, 21.0, 126781.0, 2304000, 1.0, 126186.0, 76800, 39.0, 126795.0, 2211840, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 57755.0, 132533.0, 2211840,
14, 21.0, 43761.0, 802816, 1.0, 42962.0, 16384, 39.0, 43767.0, 652288, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 43783.0, 76397.0, 652288,
15, 21.0, 60941.0, 940800, 1.0, 60726.0, 92160, 39.0, 60951.0, 903168, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 60959.0, 106117.0, 903168,
16, 21.0, 30461.0, 470400, 1.0, 30246.0, 46080, 39.0, 30475.0, 451584, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 30479.0, 53058.0, 451584,
17, 21.0, 97733.0, 1368576, 1.0, 97586.0, 179712, 39.0, 97755.0, 1317888, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 73589.0, 111232.0, 1317888,
18, 21.0, 6077.0, 94080, 1.0, 5862.0, 7680, 39.0, 6091.0, 75264, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 6095.0, 9858.0, 75264,
19, 21.0, 9461.0, 120000, 1.0, 9342.0, 19200, 39.0, 9467.0, 96000, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 9479.0, 14278.0, 96000,
20, 21.0, 24365.0, 376320, 1.0, 24150.0, 30720, 39.0, 24367.0, 301056, -12583.0, -1.0, 94080, -6292.0, -1.0, 30720, 24383.0, 39435.0, 301056,
21, 21.0, 52805.0, 802816, 1.0, 52598.0, 81920, 39.0, 52831.0, 815360, -12583.0, -1.0, 100352, -12583.0, -1.0, 81920, 52831.0, 93598.0, 815360,
22, 21.0, 39597.0, 602112, 1.0, 39390.0, 57344, 39.0, 39615.0, 570752, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 39623.0, 68160.0, 570752,
23, 21.0, 123593.0, 1741824, 1.0, 123442.0, 225792, 39.0, 123607.0, 1645056, -6292.0, -1.0, 21952, -25166.0, -1.0, 225792, 73589.0, 153446.0, 1645056,
24, 21.0, 13181.0, 200704, 1.0, 12974.0, 12288, 39.0, 13191.0, 122304, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 13207.0, 19322.0, 122304,
25, 21.0, 18941.0, 240000, 1.0, 18822.0, 38400, 39.0, 18943.0, 192000, -6292.0, -1.0, 4704, -6292.0, -1.0, 38400, 18959.0, 28558.0, 192000,
26, 21.0, 26389.0, 401408, 1.0, 26182.0, 32768, 39.0, 26399.0, 326144, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 26415.0, 42722.0, 326144,
27, 21.0, 46201.0, 702464, 1.0, 45994.0, 65536, 39.0, 46215.0, 652288, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 46227.0, 78841.0, 652288,
28, 21.0, 46201.0, 702464, 1.0, 45994.0, 65536, 39.0, 46215.0, 652288, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 46227.0, 78841.0, 652288,
29, 21.0, 152281.0, 2156544, 1.0, 152126.0, 294912, 39.0, 152303.0, 2138112, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 73589.0, 154354.0, 2138112,
30, 21.0, 13181.0, 200704, 1.0, 12974.0, 12288, 39.0, 13191.0, 122304, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 13207.0, 19322.0, 122304,
31, 21.0, 1997.0, 18816, 1.0, 1798.0, 1536, 39.0, 2015.0, 25088, -6292.0, -1.0, 4704, -6292.0, -1.0, 1536, 2031.0, 3285.0, 25088,
32, 21.0, 26389.0, 401408, 1.0, 26182.0, 32768, 39.0, 26399.0, 326144, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 26415.0, 42722.0, 326144,
33, 21.0, 39597.0, 602112, 1.0, 39390.0, 57344, 39.0, 39615.0, 570752, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 39623.0, 68160.0, 570752,
34, 21.0, 52805.0, 802816, 1.0, 52598.0, 73728, 39.0, 52815.0, 733824, -12583.0, -1.0, 100352, -12583.0, -1.0, 73728, 52831.0, 89522.0, 733824,
35, 21.0, 196927.0, 2799360, 1.0, 196768.0, 373248, 39.0, 196937.0, 2695680, -6292.0, -1.0, 28224, -37749.0, -1.0, 373248, 73589.0, 226875.0, 2695680,
36, 21.0, 13181.0, 200704, 1.0, 12974.0, 16384, 39.0, 13199.0, 163072, -12583.0, -1.0, 100352, -6292.0, -1.0, 16384, 13207.0, 21360.0, 163072,
37, 21.0, 25261.0, 320000, 1.0, 25142.0, 51200, 39.0, 25263.0, 256000, -6292.0, -1.0, 6272, -6292.0, -1.0, 51200, 25279.0, 38078.0, 256000,
38, 21.0, 26389.0, 401408, 1.0, 26182.0, 32768, 39.0, 26399.0, 326144, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 26415.0, 42722.0, 326144,
39, 21.0, 89123.0, 1345344, 1.0, 88920.0, 135168, 39.0, 89149.0, 1354752, -12583.0, -1.0, 103488, -18875.0, -1.0, 135168, 67963.0, 104461.0, 1354752,
40, 21.0, 54833.0, 827904, 1.0, 54630.0, 84480, 39.0, 54863.0, 846720, -12583.0, -1.0, 103488, -12583.0, -1.0, 84480, 54863.0, 97198.0, 846720,
41, 21.0, 232685.0, 3317760, 1.0, 232522.0, 460800, 39.0, 232703.0, 3317760, -6292.0, -1.0, 31360, -50332.0, -1.0, 460800, 73589.0, 241304.0, 3317760,
42, 21.0, 13685.0, 206976, 1.0, 13482.0, 16896, 39.0, 13707.0, 169344, -12583.0, -1.0, 103488, -6292.0, -1.0, 16896, 13715.0, 22182.0, 169344,
43, 21.0, 44221.0, 560000, 1.0, 44102.0, 102400, 39.0, 44227.0, 512000, -6292.0, -1.0, 6272, -12583.0, -1.0, 102400, 44239.0, 69838.0, 512000,
44, 21.0, 47975.0, 724416, 1.0, 47772.0, 67584, 39.0, 47993.0, 677376, -12583.0, -1.0, 103488, -12583.0, -1.0, 67584, 48005.0, 81873.0, 677376,
45, 21.0, 58395.0, 529984, 1.0, 58335.0, 212992, 39.0, 58417.0, 526848, -6292.0, -1.0, 40768, -25166.0, -1.0, 212992, 58421.0, 84763.0, 526848,
46, 21.0, 23085.0, 208544, 1.0, 23025.0, 85120, 39.0, 23111.0, 211680, -6292.0, -1.0, 26068, -12583.0, -1.0, 85120, 23111.0, 33694.0, 211680,
47, 21.0, 95597.0, 576000, 1.0, 95553.0, 460800, 39.0, 95615.0, 576000, -6292.0, -1.0, 7840, -50332.0, -1.0, 460800, 95615.0, 124414.0, 576000,
48, 21.0, 8961.0, 81536, 1.0, 8901.0, 26624, 39.0, 8979.0, 65856, -6292.0, -1.0, 40768, -6292.0, -1.0, 26624, 8987.0, 12279.0, 65856,
49, 21.0, 18741.0, 50400, 1.0, 18713.0, 102400, 39.0, 18747.0, 46080, -6292.0, -1.0, 1568, -12583.0, -1.0, 102400, 18759.0, 21062.0, 46080,
50, 21.0, 31431.0, 285376, 1.0, 31371.0, 106496, 39.0, 31445.0, 263424, -6292.0, -1.0, 40768, -12583.0, -1.0, 106496, 31457.0, 44628.0, 263424,
51, 21.0, 89853.0, 815360, 1.0, 89793.0, 319488, 39.0, 89863.0, 790272, -6292.0, -1.0, 40768, -37749.0, -1.0, 319488, 89879.0, 129392.0, 790272,
52, 21.0, 44913.0, 407680, 1.0, 44853.0, 159744, 39.0, 44931.0, 395136, -6292.0, -1.0, 40768, -18875.0, -1.0, 159744, 44939.0, 64695.0, 395136,
