LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 299409, 0, 37.129394907968695, 91.66288753298153, 31.039284667253003,
1, 30967, 0, 40.50763716214034, 100.0, 33.86243386243386,
2, 473615, 0, 66.4945155875553, 99.04891304347827, 59.9917706761761,
3, 23699, 0, 39.69787754757585, 98.0, 33.185185185185176,
4, 28499, 0, 49.5175269307695, 98.0, 42.57013574660633,
5, 131867, 0, 55.36487521517893, 96.02272727272727, 48.58066834351419,
6, 16499, 0, 14.255409418752652, 98.0, 11.120567375886525,
7, 29483, 0, 24.42085269477326, 96.15384615384616, 19.598236158745713,
8, 18899, 0, 24.89020583099635, 98.0, 19.974522292993633,
9, 44399, 0, 56.50577715714318, 98.0, 49.58102766798419,
10, 44399, 0, 56.50577715714318, 98.0, 49.58102766798419,
11, 226511, 0, 64.4630945075515, 96.02272727272727, 58.15887582449096,
12, 25199, 0, 24.889876582404064, 98.0, 19.974522292993633,
13, 85499, 0, 50.52690674744734, 100.0, 43.43891402714932,
14, 31599, 0, 39.69745878034115, 98.0, 33.18518518518518,
15, 30029, 0, 58.74321489227081, 87.5, 52.99684542586751,
16, 19949, 0, 44.212742493358064, 87.5, 38.009049773755656,
17, 40769, 0, 61.98827540533248, 90.0, 56.21621621621621,
18, 11549, 0, 12.728374751060699, 87.5, 9.929078014184396,
19, 7383, 0, 25.396180414465665, 75.1201923076923, 20.84259670964873,
20, 16589, 0, 35.445174513231656, 87.5, 29.629629629629626,
21, 28447, 0, 55.12004780820473, 87.5, 49.12280701754386,
22, 23071, 0, 47.57487755190499, 87.5, 41.35021097046413,
23, 50879, 0, 62.40688692780912, 88.59375, 56.8624641833811,
24, 13215, 0, 17.79795686719637, 87.5, 14.093959731543624,
25, 12007, 0, 31.231781460814524, 77.09703947368422, 26.106934001670844,
26, 17695, 0, 35.44504097202599, 87.5, 29.629629629629626,
27, 24863, 0, 50.45247958814302, 87.5, 44.26877470355731,
28, 24863, 0, 50.45247958814302, 87.5, 44.26877470355731,
29, 62999, 0, 65.82961634311656, 90.0, 60.47244094488189,
30, 13215, 0, 17.79795686719637, 87.5, 14.093959731543624,
31, 1105, 0, 26.60633484162896, 65.625, 22.222222222222218,
32, 17695, 0, 35.44504097202599, 87.5, 29.629629629629626,
33, 23071, 0, 47.57487755190499, 87.5, 41.35021097046413,
34, 26655, 0, 52.94316263365222, 87.5, 46.840148698884754,
35, 78309, 0, 67.0267785312033, 88.90243902439025, 61.99492115986535,
36, 14111, 0, 22.223797037771952, 87.5, 17.834394904458602,
37, 15799, 0, 31.647572631179187, 78.125, 26.455026455026452,
38, 17695, 0, 35.44504097202599, 87.5, 29.629629629629626,
39, 41649, 0, 62.119138514730246, 84.92647058823529, 57.0634553033812,
40, 30225, 0, 53.49875930521092, 84.92647058823529, 47.6780185758514,
41, 93149, 0, 69.56596420788199, 90.0, 64.71910112359551,
42, 14993, 0, 21.57006603081438, 84.92647058823529, 17.309853877856877,
43, 22199, 0, 45.0470741925312, 78.125, 39.52569169960474,
44, 26417, 0, 48.968467274860885, 84.92647058823529, 42.96675191815857,
45, 18199, 0, 56.00307709214792, 76.5625, 51.44356955380578,
46, 8635, 0, 47.169947886508396, 74.87362132352942, 42.03431372549019,
47, 18629, 0, 60.38971496054538, 78.125, 56.17977528089888,
48, 6551, 0, 19.447412608762022, 76.5625, 15.605095541401276,
49, 5549, 0, 16.219138583528565, 28.125, 14.229249011857709,
50, 11543, 0, 44.14796846573681, 76.5625, 38.735177865612656,
51, 24855, 0, 61.50875075437538, 76.5625, 57.760314341846765,
52, 14871, 0, 51.40205769618721, 76.5625, 46.37223974763407,
53, 25811, 0, 62.76393785595289, 78.125, 58.93909626719057,
54, 7383, 0, 25.883787078423406, 76.5625, 21.242774566473983,
55, 5549, 0, 16.219138583528565, 28.125, 14.229249011857709,
56, 11543, 0, 44.14796846573681, 76.5625, 38.735177865612656,
57, 35007, 0, 2.85657154283429, 3.125, 2.7777777777777777,
