LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 832386.0, 1778700, 17.0, 832672.0, 7121856, 31.0, 832687.0, 7744000, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 112671.0, 857947.0, 7744015,
1, 1.0, 86146.0, 200704, 17.0, 86225.0, 802816, 31.0, 86239.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 86239.0, 136414.0, 802816,
2, 1.0, 1567722.0, 1679616, 17.0, 1567929.0, 20238336, 31.0, 1567931.0, 20155392, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 81260.0, 1582471.0, 20155407,
3, 1.0, 64586.0, 150528, 17.0, 64665.0, 602112, 31.0, 64679.0, 602112, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 64679.0, 102310.0, 602112,
4, 1.0, 83370.0, 150528, 17.0, 83481.0, 903168, 31.0, 83495.0, 903168, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 83495.0, 139942.0, 903168,
5, 1.0, 403870.0, 584064, 17.0, 404013.0, 4755456, 31.0, 404015.0, 4672512, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 89119.0, 433915.0, 4672527,
6, 1.0, 36410.0, 150528, 17.0, 36441.0, 150528, 31.0, 36455.0, 150528, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 36455.0, 45862.0, 150528,
7, 1.0, 70138.0, 230400, 17.0, 70185.0, 460800, 31.0, 70199.0, 460800, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 70199.0, 98998.0, 460800,
8, 1.0, 45802.0, 150528, 17.0, 45849.0, 301056, 31.0, 45863.0, 301056, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 45863.0, 64678.0, 301056,
9, 1.0, 136258.0, 200704, 17.0, 136401.0, 1605632, 31.0, 136415.0, 1605632, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 89119.0, 171231.0, 1605647,
10, 1.0, 136258.0, 200704, 17.0, 136401.0, 1605632, 31.0, 136415.0, 1605632, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 89119.0, 171231.0, 1605647,
11, 1.0, 736626.0, 778752, 17.0, 736833.0, 9510912, 31.0, 736835.0, 9345024, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 81260.0, 796623.0, 9345039,
12, 1.0, 61090.0, 200704, 17.0, 61137.0, 401408, 31.0, 61151.0, 401408, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 61151.0, 86238.0, 401408,
13, 1.0, 255474.0, 460800, 17.0, 255585.0, 2764800, 31.0, 255599.0, 2764800, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 96946.0, 297327.0, 2764815,
14, 1.0, 86146.0, 200704, 17.0, 86225.0, 802816, 31.0, 86239.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 86239.0, 136414.0, 802816,
15, 1.0, 92598.0, 94080, 17.0, 92805.0, 1198080, 31.0, 92807.0, 1128960, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 81260.0, 97843.0, 1128975,
16, 1.0, 55254.0, 94080, 17.0, 55365.0, 599040, 31.0, 55367.0, 564480, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 55379.0, 90658.0, 564480,
17, 1.0, 123206.0, 124416, 17.0, 123429.0, 1617408, 31.0, 123443.0, 1617408, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 80064.0, 158995.0, 1617423,
18, 1.0, 24134.0, 94080, 17.0, 24165.0, 99840, 31.0, 24167.0, 94080, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 24179.0, 30058.0, 94080,
19, 1.0, 16372.0, 40000, 17.0, 16435.0, 134400, 31.0, 16437.0, 120000, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 16449.0, 23948.0, 120000,
20, 1.0, 42806.0, 94080, 17.0, 42885.0, 399360, 31.0, 42887.0, 376320, -12583.0, -1.0, 94080, -6292.0, -1.0, 30720, 42899.0, 66418.0, 376320,
21, 1.0, 85506.0, 100352, 17.0, 85681.0, 1064960, 31.0, 85683.0, 1003520, -12583.0, -1.0, 100352, -12583.0, -1.0, 81920, 85695.0, 148414.0, 1003520,
22, 1.0, 65586.0, 100352, 17.0, 65713.0, 745472, 31.0, 65715.0, 702464, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 65727.0, 109630.0, 702464,
23, 1.0, 152836.0, 145152, 17.0, 153075.0, 2032128, 31.0, 153089.0, 2032128, -6292.0, -1.0, 21952, -25166.0, -1.0, 225792, 79006.0, 214561.0, 2032143,
24, 1.0, 29066.0, 100352, 17.0, 29105.0, 159744, 31.0, 29107.0, 150528, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 29119.0, 38526.0, 150528,
25, 1.0, 29166.0, 60000, 17.0, 29237.0, 268800, 31.0, 29247.0, 243200, -6292.0, -1.0, 4704, -6292.0, -1.0, 38400, 29259.0, 44458.0, 243200,
26, 1.0, 45666.0, 100352, 17.0, 45745.0, 425984, 31.0, 45747.0, 401408, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 45759.0, 70846.0, 401408,
27, 1.0, 72226.0, 100352, 17.0, 72369.0, 851968, 31.0, 72371.0, 802816, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 72383.0, 122558.0, 802816,
28, 1.0, 72226.0, 100352, 17.0, 72369.0, 851968, 31.0, 72371.0, 802816, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 72383.0, 122558.0, 802816,
29, 1.0, 195410.0, 165888, 17.0, 195681.0, 2654208, 31.0, 195695.0, 2654208, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 77343.0, 230511.0, 2654223,
30, 1.0, 29066.0, 100352, 17.0, 29105.0, 159744, 31.0, 29107.0, 150528, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 29119.0, 38526.0, 150528,
31, 1.0, 2766.0, 4704, 17.0, 2837.0, 19968, 31.0, 2847.0, 25088, -6292.0, -1.0, 4704, -6292.0, -1.0, 1536, 2859.0, 4426.0, 25088,
32, 1.0, 45666.0, 100352, 17.0, 45745.0, 425984, 31.0, 45747.0, 401408, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 45759.0, 70846.0, 401408,
33, 1.0, 65586.0, 100352, 17.0, 65713.0, 745472, 31.0, 65715.0, 702464, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 65727.0, 109630.0, 702464,
34, 1.0, 78866.0, 100352, 17.0, 79025.0, 958464, 31.0, 79027.0, 903168, -12583.0, -1.0, 100352, -12583.0, -1.0, 73728, 79039.0, 135486.0, 903168,
35, 1.0, 243168.0, 186624, 17.0, 243471.0, 3359232, 31.0, 243485.0, 3359232, -6292.0, -1.0, 28224, -37749.0, -1.0, 373248, 76016.0, 256829.0, 3359247,
36, 1.0, 32386.0, 100352, 17.0, 32433.0, 212992, 31.0, 32435.0, 200704, -12583.0, -1.0, 100352, -6292.0, -1.0, 16384, 32447.0, 44990.0, 200704,
37, 1.0, 38406.0, 80000, 17.0, 38485.0, 358400, 31.0, 38487.0, 320000, -6292.0, -1.0, 6272, -6292.0, -1.0, 51200, 38499.0, 58498.0, 320000,
38, 1.0, 45666.0, 100352, 17.0, 45745.0, 425984, 31.0, 45747.0, 401408, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 45759.0, 70846.0, 401408,
39, 1.0, 129272.0, 103488, 17.0, 129543.0, 1757184, 31.0, 129545.0, 1655808, -12583.0, -1.0, 103488, -18875.0, -1.0, 135168, 77343.0, 167509.0, 1655823,
40, 1.0, 88184.0, 103488, 17.0, 88359.0, 1098240, 31.0, 88361.0, 1034880, -12583.0, -1.0, 103488, -12583.0, -1.0, 84480, 88373.0, 153052.0, 1034880,
41, 1.0, 296110.0, 207360, 17.0, 296445.0, 4147200, 31.0, 296459.0, 4147200, -6292.0, -1.0, 31360, -50332.0, -1.0, 460800, 74958.0, 359051.0, 4147215,
42, 1.0, 33400.0, 103488, 17.0, 33447.0, 219648, 31.0, 33449.0, 206976, -12583.0, -1.0, 103488, -6292.0, -1.0, 16896, 33461.0, 46396.0, 206976,
43, 1.0, 60742.0, 80000, 17.0, 60885.0, 716800, 31.0, 60887.0, 640000, -6292.0, -1.0, 6272, -12583.0, -1.0, 102400, 60899.0, 100898.0, 640000,
44, 1.0, 74488.0, 103488, 17.0, 74631.0, 878592, 31.0, 74633.0, 827904, -12583.0, -1.0, 103488, -12583.0, -1.0, 67584, 74645.0, 126388.0, 827904,
45, 1.0, 62530.0, 40768, 17.0, 62801.0, 851968, 31.0, 62800.0, 652288, -6292.0, -1.0, 40768, -25166.0, -1.0, 212992, 62815.0, 103582.0, 652288,
46, 1.0, 27826.0, 26068, 17.0, 27989.0, 340480, 31.0, 28000.0, 266560, -6292.0, -1.0, 26068, -12583.0, -1.0, 85120, 28015.0, 44674.0, 266560,
47, 1.0, 65530.0, 36000, 17.0, 65865.0, 921600, 31.0, 65872.0, 720000, -6292.0, -1.0, 7840, -50332.0, -1.0, 460800, 65879.0, 110878.0, 720000,
48, 1.0, 16162.0, 40768, 17.0, 16209.0, 106496, 31.0, 16208.0, 81536, -6292.0, -1.0, 40768, -6292.0, -1.0, 26624, 16223.0, 21318.0, 81536,
49, 1.0, 8542.0, 7200, 17.0, 8685.0, 102400, 31.0, 8692.0, 57600, -6292.0, -1.0, 1568, -12583.0, -1.0, 102400, 8699.0, 12298.0, 57600,
50, 1.0, 36034.0, 40768, 17.0, 36177.0, 425984, 31.0, 36176.0, 326144, -6292.0, -1.0, 40768, -12583.0, -1.0, 106496, 36191.0, 56574.0, 326144,
51, 1.0, 89026.0, 40768, 17.0, 89425.0, 1277952, 31.0, 89424.0, 978432, -6292.0, -1.0, 40768, -37749.0, -1.0, 319488, 89439.0, 150590.0, 978432,
52, 1.0, 49282.0, 40768, 17.0, 49489.0, 638976, 31.0, 49488.0, 489216, -6292.0, -1.0, 40768, -18875.0, -1.0, 159744, 49503.0, 80078.0, 489216,
53, 1.0, 92466.0, 43200, 17.0, 92865.0, 1327104, 31.0, 92872.0, 1036800, -6292.0, -1.0, 9408, -69206.0, -1.0, 663552, 92879.0, 157678.0, 1036800,
54, 1.0, 19474.0, 40768, 17.0, 19537.0, 159744, 31.0, 19536.0, 122304, -6292.0, -1.0, 40768, -6292.0, -1.0, 39936, 19551.0, 27194.0, 122304,
55, 1.0, 8542.0, 7200, 17.0, 8685.0, 102400, 31.0, 8692.0, 57600, -6292.0, -1.0, 1568, -12583.0, -1.0, 102400, 8699.0, 12298.0, 57600,
56, 1.0, 36034.0, 40768, 17.0, 36177.0, 425984, 31.0, 36176.0, 326144, -6292.0, -1.0, 40768, -12583.0, -1.0, 106496, 36191.0, 56574.0, 326144,
57, 1.0, 65914.0, 1024, 17.0, 66929.0, 1024000, 31.0, 66928.0, 64000, -6292.0, -1.0, 1024, -106954.0, -1.0, 1024000, 66943.0, 70942.0, 64000,
