LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 788707.0, 8893500, 1.0, 776716.0, 9408, 23.0, 788833.0, 10067200, -5513.0, 781276.0, 5768090, -995.0, -1.0, 9408, 3979.0, 789063.0, 10067200,
1, 13.0, 95139.0, 1003520, 1.0, 92000.0, 4096, 23.0, 95153.0, 1204224, -5513.0, 92883.0, 1003520, -442.0, -1.0, 4096, 4015.0, 98229.0, 1204224,
2, 13.0, 1983731.0, 23514624, 1.0, 1980804.0, 110592, 23.0, 1983739.0, 26873856, -5513.0, 1980945.0, 23514624, -5525.0, 1980795.0, 110592, 4015.0, 1987658.0, 26873856,
3, 13.0, 65587.0, 752640, 1.0, 64792.0, 12288, 23.0, 65593.0, 802816, -5513.0, 62608.0, 752640, -1326.0, -1.0, 12288, 4159.0, 67645.0, 802816,
4, 13.0, 91827.0, 1053696, 1.0, 91032.0, 18432, 23.0, 91837.0, 1204224, -5513.0, 91493.0, 1053696, -1879.0, -1.0, 18432, 4159.0, 94909.0, 1204224,
5, 13.0, 512627.0, 5840640, 1.0, 511940.0, 110592, 23.0, 512627.0, 6230016, -5513.0, 509195.0, 5840640, -5525.0, 509794.0, 110592, 4159.0, 515264.0, 6230016,
6, 13.0, 26227.0, 301056, 1.0, 25432.0, 3072, 23.0, 26227.0, 200704, -5513.0, 24083.0, 301056, -332.0, -1.0, 3072, 4159.0, 28725.0, 200704,
7, 13.0, 62403.0, 691200, 1.0, 61824.0, 12800, 23.0, 62413.0, 626688, -1326.0, -1.0, 12544, -1326.0, -1.0, 12800, 4195.0, 63738.0, 626688,
8, 13.0, 39347.0, 451584, 1.0, 38552.0, 6144, 23.0, 39349.0, 401408, -5513.0, 38507.0, 451584, -663.0, -1.0, 6144, 4159.0, 40382.0, 401408,
9, 13.0, 180379.0, 2007040, 1.0, 179592.0, 32768, 23.0, 180387.0, 2207744, -5513.0, 178284.0, 2007040, -3315.0, -1.0, 32768, 4159.0, 184053.0, 2207744,
10, 13.0, 180379.0, 2007040, 1.0, 179592.0, 32768, 23.0, 180387.0, 2207744, -5513.0, 178284.0, 2007040, -3315.0, -1.0, 32768, 4159.0, 184053.0, 2207744,
11, 13.0, 956915.0, 10902528, 1.0, 956228.0, 221184, 23.0, 956923.0, 12460032, -5513.0, 955315.0, 10902528, -5525.0, 955510.0, 221184, 4159.0, 958227.0, 12460032,
12, 13.0, 54099.0, 602112, 1.0, 53312.0, 8192, 23.0, 54109.0, 551936, -5513.0, 49265.0, 602112, -884.0, -1.0, 8192, 4159.0, 57994.0, 551936,
13, 13.0, 287011.0, 3225600, 1.0, 286428.0, 76800, 23.0, 287025.0, 3704832, -2542.0, -1.0, 25088, -5525.0, 201963.0, 76800, 4195.0, 290971.0, 3704832,
14, 13.0, 90179.0, 1003520, 1.0, 89392.0, 16384, 23.0, 90193.0, 1103872, -5513.0, 88872.0, 1003520, -1658.0, -1.0, 16384, 4159.0, 94001.0, 1103872,
15, 13.0, 129907.0, 1317120, 1.0, 129700.0, 92160, 23.0, 129915.0, 1505280, -5513.0, 125354.0, 1317120, -5525.0, 76107.0, 92160, 4699.0, 130794.0, 1505280,
16, 13.0, 64947.0, 658560, 1.0, 64740.0, 46080, 23.0, 64957.0, 752640, -5513.0, 59952.0, 658560, -4641.0, -1.0, 46080, 4699.0, 67371.0, 752640,
17, 13.0, 194387.0, 1866240, 1.0, 194232.0, 179712, 23.0, 194397.0, 2156544, -1989.0, -1.0, 18816, -5525.0, 177488.0, 179712, 4951.0, 198345.0, 2156544,
18, 13.0, 18547.0, 188160, 1.0, 18340.0, 7680, 23.0, 18547.0, 125440, -5513.0, 16350.0, 188160, -774.0, -1.0, 7680, 4699.0, 19619.0, 125440,
19, 13.0, 18475.0, 160000, 1.0, 18372.0, 19200, 23.0, 18487.0, 163200, -332.0, -1.0, 3136, -1989.0, -1.0, 19200, 5383.0, 22252.0, 163200,
20, 13.0, 46387.0, 470400, 1.0, 46180.0, 30720, 23.0, 46393.0, 501760, -5513.0, 43583.0, 470400, -3094.0, -1.0, 30720, 4699.0, 46690.0, 501760,
21, 13.0, 119695.0, 1204224, 1.0, 119492.0, 81920, 23.0, 119703.0, 1348480, -5513.0, 115280.0, 1204224, -5525.0, 76795.0, 81920, 4699.0, 121236.0, 1348480,
22, 13.0, 79791.0, 802816, 1.0, 79588.0, 57344, 23.0, 79807.0, 943936, -5513.0, 76850.0, 802816, -5525.0, 76795.0, 57344, 4699.0, 80084.0, 943936,
23, 13.0, 241907.0, 2322432, 1.0, 241752.0, 225792, 23.0, 241919.0, 2709504, -2210.0, -1.0, 21952, -5525.0, 236706.0, 225792, 4951.0, 245865.0, 2709504,
24, 13.0, 19935.0, 200704, 1.0, 19732.0, 12288, 23.0, 19947.0, 202272, -5513.0, 16416.0, 200704, -1326.0, -1.0, 12288, 4699.0, 22549.0, 202272,
