LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12865, 0, 13.501840021375825, 14.35546875, 13.238409562914413,
1, 3901, 0, 5.0243527300692135, 6.25, 4.714938657685831,
2, 11045, 0, 44.55183340878225, 56.25, 41.662433324866655,
3, 1549, 0, 9.489993544222079, 18.75, 8.14404432132964,
4, 1549, 0, 14.234990316333118, 28.125, 12.21606648199446,
5, 5767, 0, 19.780648517426737, 42.1875, 16.805391868002356,
6, 1549, 0, 2.3724983860555198, 4.6875, 2.03601108033241,
7, 2683, 0, 4.193067461796496, 9.765625, 3.5222291797119594,
8, 1549, 0, 4.7449967721110395, 9.375, 4.07202216066482,
9, 1549, 0, 25.306649451258878, 50.0, 21.717451523545705,
10, 1549, 0, 25.306649451258878, 50.0, 21.717451523545705,
11, 7209, 0, 31.647940074906366, 67.5, 26.88862698880377,
12, 1549, 0, 6.326662362814719, 12.5, 5.429362880886426,
13, 5367, 0, 12.57685858021241, 29.296875, 10.56668753913588,
14, 1549, 0, 12.653324725629439, 25.0, 10.858725761772853,
15, 1923, 0, 14.333073322932917, 70.3125, 11.323952341824159,
16, 1923, 0, 7.166536661466458, 35.15625, 5.661976170912079,
17, 3639, 0, 10.851195383347074, 68.5546875, 8.47371244635193,
18, 1923, 0, 1.1944227769110765, 5.859375, 0.9436626951520132,
19, 1731, 0, 1.6924826689774697, 14.6484375, 1.306729482604817,
20, 1923, 0, 4.777691107644306, 23.4375, 3.7746507806080527,
21, 1923, 0, 12.740509620384815, 62.5, 10.065735414954807,
22, 1923, 0, 8.91835673426937, 43.75, 7.046014790468365,
23, 3639, 0, 13.633553173948886, 86.1328125, 10.646459227467812,
24, 1923, 0, 1.9110764430577223, 9.375, 1.509860312243221,
25, 2597, 0, 2.2562090874085485, 19.53125, 1.7423059768064229,
26, 1923, 0, 5.096203848153926, 25.0, 4.026294165981923,
27, 1923, 0, 10.192407696307852, 50.0, 8.052588331963847,
28, 1923, 0, 10.192407696307852, 50.0, 8.052588331963847,
29, 4549, 0, 14.244888986590459, 90.0, 11.124463519313304,
30, 1923, 0, 1.9110764430577223, 9.375, 1.509860312243221,
31, 961, 0, 0.4780176899063476, 2.34375, 0.37746507806080526,
32, 1923, 0, 5.096203848153926, 25.0, 4.026294165981923,
33, 1923, 0, 8.91835673426937, 43.75, 7.046014790468365,
34, 1923, 0, 11.466458658346333, 56.25, 9.059161873459326,
35, 10919, 0, 7.510990017400861, 47.4609375, 5.866416309012876,
36, 1923, 0, 2.548101924076963, 12.5, 2.0131470829909617,
37, 3463, 0, 2.2559919145249783, 19.53125, 1.7423059768064229,
38, 1923, 0, 5.096203848153926, 25.0, 4.026294165981923,
39, 2885, 0, 14.01213171577123, 68.75, 11.07230895645029,
40, 2885, 0, 8.757582322357019, 42.96875, 6.920193097781429,
41, 10919, 0, 9.272827181976371, 58.59375, 7.242489270386267,
42, 2885, 0, 1.7515164644714039, 8.59375, 1.3840386195562862,
43, 3463, 0, 4.5119838290499565, 39.0625, 3.4846119536128457,
44, 2885, 0, 7.006065857885615, 34.375, 5.536154478225145,
45, 3259, 0, 4.8864682417919605, 81.25, 3.7207943925233646,
46, 2444, 0, 2.604033474836334, 43.29427083333333, 1.9826348325545171,
47, 9491, 0, 1.8520835528395323, 58.59375, 1.4004242351816445,
48, 3259, 0, 0.6108085302239951, 10.15625, 0.4650992990654206,
49, 3099, 0, 0.4537754114230397, 39.0625, 0.3413228155339806,
50, 3259, 0, 2.4432341208959802, 40.625, 1.8603971962616823,
51, 6519, 0, 3.66428900138058, 60.9375, 2.7905957943925235,
52, 3259, 0, 3.6648511813439706, 60.9375, 2.7905957943925235,
53, 11073, 0, 2.2859658629097805, 72.32142857142857, 1.728523627424201,
54, 3259, 0, 0.9162127953359926, 15.234375, 0.6976489485981309,
55, 3099, 0, 0.4537754114230397, 39.0625, 0.3413228155339806,
56, 3259, 0, 2.4432341208959802, 40.625, 1.8603971962616823,
57, 12271, 0, 0.12733273571836037, 97.65625, 0.09555406066536203,
