LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 12865.0, 15889.0, 774400,
1, 257.0, 3455.0, 200704, 193.0, 256.0, 4096, 511.0, 3709.0, 200704, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 3901.0, 4684.0, 200704,
2, 257.0, 10599.0, 1679616, 1.0, 7620.0, 110592, 511.0, 10981.0, 1679616, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 6833.0, 13510.0, 1679871,
3, 257.0, 1231.0, 150528, 65.0, 256.0, 12288, 511.0, 1357.0, 50176, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 1549.0, 1744.0, 50176,
4, 257.0, 1231.0, 150528, 65.0, 256.0, 18432, 511.0, 1389.0, 75264, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 1549.0, 1842.0, 75264,
5, 257.0, 5353.0, 584064, 1.0, 4582.0, 110592, 511.0, 5639.0, 346112, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 5767.0, 7118.0, 346112,
6, 257.0, 1231.0, 150528, 65.0, 256.0, 3072, 511.0, 1309.0, 12544, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 1549.0, 1597.0, 12544,
7, 257.0, 2317.0, 230400, 1.0, 1598.0, 12800, 511.0, 2459.0, 36864, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 2683.0, 2826.0, 36864,
8, 257.0, 1231.0, 150528, 65.0, 256.0, 6144, 511.0, 1325.0, 25088, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 1549.0, 1646.0, 25088,
9, 257.0, 1295.0, 200704, 1.0, 256.0, 32768, 511.0, 1421.0, 100352, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 1549.0, 1940.0, 100352,
10, 257.0, 1295.0, 200704, 1.0, 256.0, 32768, 511.0, 1421.0, 100352, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 1549.0, 1940.0, 100352,
11, 257.0, 6827.0, 778752, 1.0, 6024.0, 221184, 511.0, 7145.0, 648960, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 7209.0, 9743.0, 648960,
12, 257.0, 1295.0, 200704, 1.0, 256.0, 8192, 511.0, 1325.0, 25088, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 1549.0, 1646.0, 25088,
13, 257.0, 4889.0, 460800, 1.0, 4282.0, 76800, 511.0, 5207.0, 221184, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 5367.0, 6230.0, 221184,
