LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 110.0, 39266.0, 1778700, 257.0, 39476.0, 451584, 511.0, 39651.0, 774400, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 39839.0, 42863.0, 774400,
1, 193.0, 10216.0, 200704, 257.0, 10343.0, 53248, 511.0, 10597.0, 200704, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 10789.0, 11572.0, 200704,
2, 1.0, 33786.0, 1679616, 257.0, 34041.0, 1327104, 511.0, 34331.0, 1679616, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 20809.0, 36952.0, 1679871,
3, 65.0, 2746.0, 150528, 257.0, 3001.0, 49152, 511.0, 3079.0, 50176, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 3319.0, 3514.0, 50176,
4, 65.0, 2842.0, 150528, 257.0, 3129.0, 73728, 511.0, 3207.0, 75264, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 3447.0, 3740.0, 75264,
5, 1.0, 10090.0, 584064, 257.0, 10313.0, 331776, 511.0, 10635.0, 346112, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 10727.0, 12078.0, 346112,
6, 65.0, 2602.0, 150528, 257.0, 2809.0, 12288, 511.0, 2887.0, 12544, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 3127.0, 3175.0, 12544,
7, 1.0, 4246.0, 230400, 257.0, 4421.0, 38400, 511.0, 4595.0, 36864, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 4787.0, 4930.0, 36864,
8, 65.0, 2650.0, 150528, 257.0, 2873.0, 24576, 511.0, 2951.0, 25088, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 3191.0, 3288.0, 25088,
9, 1.0, 2938.0, 200704, 257.0, 3321.0, 131072, 511.0, 3335.0, 100352, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 3575.0, 3966.0, 100352,
10, 1.0, 2938.0, 200704, 257.0, 3321.0, 131072, 511.0, 3335.0, 100352, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 3575.0, 3966.0, 100352,
11, 1.0, 13668.0, 778752, 257.0, 13987.0, 663552, 511.0, 14277.0, 648960, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 14369.0, 16903.0, 648960,
12, 1.0, 2650.0, 200704, 257.0, 2937.0, 32768, 511.0, 2951.0, 25088, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 3191.0, 3288.0, 25088,
13, 1.0, 9738.0, 460800, 257.0, 9865.0, 230400, 511.0, 10151.0, 221184, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 10343.0, 11206.0, 221184,
14, 1.0, 2746.0, 200704, 257.0, 3065.0, 65536, 511.0, 3079.0, 50176, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 3319.0, 3514.0, 50176,
15, 1.0, 1214.0, 94080, 257.0, 1629.0, 92160, 511.0, 1855.0, 75264, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 1915.0, 2208.0, 75264,
16, 1.0, 1118.0, 94080, 257.0, 1437.0, 46080, 511.0, 1663.0, 37632, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 1723.0, 1869.0, 37632,
17, 1.0, 3178.0, 124416, 257.0, 3481.0, 179712, 511.0, 3783.0, 119808, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 3895.0, 4362.0, 119808,
18, 1.0, 1038.0, 94080, 257.0, 1277.0, 7680, 511.0, 1503.0, 6272, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 1563.0, 1587.0, 6272,
19, 1.0, 1070.0, 40000, 257.0, 1261.0, 19200, 511.0, 1471.0, 9600, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 1627.0, 1664.0, 9600,
20, 1.0, 1086.0, 94080, 257.0, 1373.0, 30720, 511.0, 1599.0, 25088, -12583.0, -1.0, 94080, -6292.0, -1.0, 30720, 1659.0, 1756.0, 25088,
21, 1.0, 1182.0, 100352, 257.0, 1597.0, 81920, 511.0, 1791.0, 62720, -12583.0, -1.0, 100352, -12583.0, -1.0, 81920, 1851.0, 2095.0, 62720,
22, 1.0, 1134.0, 100352, 257.0, 1501.0, 57344, 511.0, 1695.0, 43904, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 1755.0, 1926.0, 43904,
23, 1.0, 3226.0, 145152, 257.0, 3689.0, 225792, 511.0, 3847.0, 129024, -6292.0, -1.0, 21952, -25166.0, -1.0, 225792, 3959.0, 4462.0, 129024,
24, 1.0, 1046.0, 100352, 257.0, 1325.0, 12288, 511.0, 1519.0, 9408, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 1579.0, 1615.0, 9408,
25, 1.0, 1916.0, 60000, 257.0, 2067.0, 38400, 511.0, 2333.0, 19200, -6292.0, -1.0, 4704, -6292.0, -1.0, 38400, 2489.0, 2563.0, 19200,
26, 1.0, 1086.0, 100352, 257.0, 1405.0, 32768, 511.0, 1599.0, 25088, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1659.0, 1756.0, 25088,
27, 1.0, 1150.0, 100352, 257.0, 1533.0, 65536, 511.0, 1727.0, 50176, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 1787.0, 1982.0, 50176,
28, 1.0, 1150.0, 100352, 257.0, 1533.0, 65536, 511.0, 1727.0, 50176, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 1787.0, 1982.0, 50176,
29, 1.0, 4344.0, 165888, 257.0, 4727.0, 294912, 511.0, 4997.0, 184320, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 5109.0, 5828.0, 184320,
30, 1.0, 1046.0, 100352, 257.0, 1325.0, 12288, 511.0, 1519.0, 9408, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 1579.0, 1615.0, 9408,
31, 233.0, 256.0, 4704, 257.0, 343.0, 1536, 511.0, 769.0, 12544, -6292.0, -1.0, 4704, -6292.0, -1.0, 1536, 829.0, 877.0, 12544,
32, 1.0, 1086.0, 100352, 257.0, 1405.0, 32768, 511.0, 1599.0, 25088, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1659.0, 1756.0, 25088,
33, 1.0, 1134.0, 100352, 257.0, 1501.0, 57344, 511.0, 1695.0, 43904, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 1755.0, 1926.0, 43904,
34, 1.0, 1166.0, 100352, 257.0, 1565.0, 73728, 511.0, 1759.0, 56448, -12583.0, -1.0, 100352, -12583.0, -1.0, 73728, 1819.0, 2039.0, 56448,
35, 1.0, 5526.0, 186624, 257.0, 5829.0, 373248, 511.0, 6211.0, 248832, -6292.0, -1.0, 28224, -37749.0, -1.0, 373248, 6323.0, 7294.0, 248832,
36, 1.0, 1054.0, 100352, 257.0, 1341.0, 16384, 511.0, 1535.0, 12544, -12583.0, -1.0, 100352, -6292.0, -1.0, 16384, 1595.0, 1643.0, 12544,
37, 1.0, 2746.0, 80000, 257.0, 2841.0, 51200, 511.0, 3163.0, 25600, -6292.0, -1.0, 6272, -6292.0, -1.0, 51200, 3319.0, 3418.0, 25600,
38, 1.0, 1086.0, 100352, 257.0, 1405.0, 32768, 511.0, 1599.0, 25088, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1659.0, 1756.0, 25088,
39, 1.0, 2300.0, 103488, 257.0, 2571.0, 135168, 511.0, 3005.0, 150528, -12583.0, -1.0, 103488, -18875.0, -1.0, 135168, 3065.0, 3652.0, 150528,
40, 1.0, 2108.0, 103488, 257.0, 2283.0, 84480, 511.0, 2717.0, 94080, -12583.0, -1.0, 103488, -12583.0, -1.0, 84480, 2777.0, 3144.0, 94080,
41, 1.0, 5686.0, 207360, 257.0, 6165.0, 460800, 511.0, 6403.0, 276480, -6292.0, -1.0, 31360, -50332.0, -1.0, 460800, 6515.0, 7594.0, 276480,
