LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 31071.0, 1778700, 1.0, 31089.0, 451584, 146.0, 31343.0, 798976, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 31535.0, 34559.0, 774400,
1, 1.0, 7015.0, 200704, 1.0, 7015.0, 53248, 63.0, 7269.0, 207360, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 7461.0, 8244.0, 200704,
2, 1.0, 12621.0, 1679616, 1.0, 12713.0, 1327104, 575.0, 12967.0, 566016, -25166.0, -1.0, 200704, -12583.0, -1.0, 110592, 13031.0, 15217.0, 559872,
3, 1.0, 2313.0, 150528, 1.0, 2361.0, 49152, 191.0, 2615.0, 52224, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 2807.0, 3002.0, 50176,
4, 1.0, 2313.0, 150528, 1.0, 2393.0, 73728, 191.0, 2647.0, 77312, -18875.0, -1.0, 150528, -6292.0, -1.0, 18432, 2807.0, 3100.0, 75264,
5, 1.0, 3775.0, 584064, 1.0, 3739.0, 331776, 863.0, 3993.0, 88064, -12583.0, -1.0, 75264, -12583.0, -1.0, 110592, 4121.0, 4458.0, 86528,
6, 1.0, 2313.0, 150528, 1.0, 2313.0, 12288, 191.0, 2567.0, 14592, -18875.0, -1.0, 150528, -6292.0, -1.0, 3072, 2807.0, 2855.0, 12544,
7, 1.0, 2283.0, 230400, 1.0, 2251.0, 38400, 399.0, 2505.0, 19968, -6292.0, -1.0, 12544, -6292.0, -1.0, 12800, 2729.0, 2800.0, 18432,
8, 1.0, 2313.0, 150528, 1.0, 2329.0, 24576, 191.0, 2583.0, 27136, -18875.0, -1.0, 150528, -6292.0, -1.0, 6144, 2807.0, 2904.0, 25088,
9, 1.0, 2569.0, 200704, 1.0, 2681.0, 131072, 255.0, 2935.0, 102400, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 3063.0, 3454.0, 100352,
10, 1.0, 2569.0, 200704, 1.0, 2681.0, 131072, 255.0, 2935.0, 102400, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 3063.0, 3454.0, 100352,
11, 1.0, 4639.0, 778752, 1.0, 4667.0, 663552, 1151.0, 4921.0, 131328, -12583.0, -1.0, 100352, -25166.0, -1.0, 221184, 4985.0, 5491.0, 129792,
12, 1.0, 2569.0, 200704, 1.0, 2585.0, 32768, 255.0, 2839.0, 27136, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 3063.0, 3160.0, 25088,
13, 1.0, 3483.0, 460800, 1.0, 3515.0, 230400, 799.0, 3769.0, 56832, -6292.0, -1.0, 25088, -12583.0, -1.0, 76800, 3929.0, 4144.0, 55296,
14, 1.0, 2569.0, 200704, 1.0, 2617.0, 65536, 255.0, 2871.0, 52224, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 3063.0, 3258.0, 50176,
15, 1.0, 675.0, 94080, 1.0, 671.0, 92160, 539.0, 925.0, 38144, -12583.0, -1.0, 94080, -12583.0, -1.0, 92160, 989.0, 1135.0, 37632,
16, 1.0, 675.0, 94080, 1.0, 575.0, 46080, 539.0, 829.0, 19328, -12583.0, -1.0, 94080, -6292.0, -1.0, 46080, 989.0, 1062.0, 18816,
17, 1.0, 1007.0, 124416, 1.0, 1071.0, 179712, 975.0, 1325.0, 30464, -6292.0, -1.0, 18816, -18875.0, -1.0, 179712, 1373.0, 1489.0, 29952,
18, 1.0, 675.0, 94080, 1.0, 495.0, 7680, 539.0, 749.0, 3648, -12583.0, -1.0, 94080, -6292.0, -1.0, 7680, 989.0, 1001.0, 3136,
19, 1.0, 499.0, 40000, 1.0, 447.0, 19200, 555.0, 701.0, 5312, -6292.0, -1.0, 3136, -6292.0, -1.0, 19200, 909.0, 927.0, 4800,
20, 1.0, 675.0, 94080, 1.0, 543.0, 30720, 539.0, 797.0, 13056, -12583.0, -1.0, 94080, -6292.0, -1.0, 30720, 989.0, 1037.0, 12544,
21, 1.0, 707.0, 100352, 1.0, 671.0, 81920, 571.0, 925.0, 31872, -12583.0, -1.0, 100352, -12583.0, -1.0, 81920, 1021.0, 1143.0, 31360,
22, 1.0, 707.0, 100352, 1.0, 623.0, 57344, 571.0, 877.0, 22464, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 1021.0, 1106.0, 21952,
23, 1.0, 1151.0, 145152, 1.0, 1231.0, 225792, 1119.0, 1485.0, 32768, -6292.0, -1.0, 21952, -25166.0, -1.0, 225792, 1517.0, 1642.0, 32256,
24, 1.0, 707.0, 100352, 1.0, 535.0, 12288, 571.0, 789.0, 5216, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 1021.0, 1039.0, 4704,
25, 1.0, 699.0, 60000, 1.0, 663.0, 38400, 755.0, 917.0, 6912, -6292.0, -1.0, 4704, -6292.0, -1.0, 38400, 1109.0, 1133.0, 6400,
26, 1.0, 707.0, 100352, 1.0, 575.0, 32768, 571.0, 829.0, 13056, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1021.0, 1069.0, 12544,
27, 1.0, 707.0, 100352, 1.0, 639.0, 65536, 571.0, 893.0, 25600, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 1021.0, 1118.0, 25088,
28, 1.0, 707.0, 100352, 1.0, 639.0, 65536, 571.0, 893.0, 25600, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 1021.0, 1118.0, 25088,
29, 1.0, 1295.0, 165888, 1.0, 1407.0, 294912, 1263.0, 1661.0, 37376, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 1661.0, 1804.0, 36864,
30, 1.0, 707.0, 100352, 1.0, 535.0, 12288, 571.0, 789.0, 5216, -12583.0, -1.0, 100352, -6292.0, -1.0, 12288, 1021.0, 1039.0, 4704,
31, 1.0, 219.0, 4704, 1.0, 87.0, 1536, 83.0, 341.0, 13056, -6292.0, -1.0, 4704, -6292.0, -1.0, 1536, 533.0, 581.0, 12544,
32, 1.0, 707.0, 100352, 1.0, 575.0, 32768, 571.0, 829.0, 13056, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1021.0, 1069.0, 12544,
33, 1.0, 707.0, 100352, 1.0, 623.0, 57344, 571.0, 877.0, 22464, -12583.0, -1.0, 100352, -6292.0, -1.0, 57344, 1021.0, 1106.0, 21952,
34, 1.0, 707.0, 100352, 1.0, 655.0, 73728, 571.0, 909.0, 28736, -12583.0, -1.0, 100352, -12583.0, -1.0, 73728, 1021.0, 1131.0, 28224,
35, 1.0, 3245.0, 373248, 1.0, 3133.0, 373248, 1407.0, 3387.0, 42496, -6292.0, -1.0, 28224, -37749.0, -1.0, 373248, 3611.0, 3772.0, 41472,
36, 1.0, 707.0, 100352, 1.0, 543.0, 16384, 571.0, 797.0, 6784, -12583.0, -1.0, 100352, -6292.0, -1.0, 16384, 1021.0, 1045.0, 6272,
37, 1.0, 899.0, 80000, 1.0, 863.0, 51200, 955.0, 1117.0, 6912, -6292.0, -1.0, 6272, -6292.0, -1.0, 51200, 1309.0, 1333.0, 6400,
38, 1.0, 707.0, 100352, 1.0, 575.0, 32768, 571.0, 829.0, 13056, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1021.0, 1069.0, 12544,
39, 1.0, 723.0, 103488, 1.0, 783.0, 135168, 587.0, 1037.0, 50688, -12583.0, -1.0, 103488, -18875.0, -1.0, 135168, 1037.0, 1232.0, 50176,
