LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 52881, 0, 54.60816503091848, 99.74902849740933, 54.6071323890927,
1, 314629, 0, 2.8962683033032555, 3.1207191780821915, 2.896259097988113,
2, 947339, 0, 95.79464162248149, 99.50657894736842, 95.79454050288176,
3, 49391, 0, 50.79467919256545, 100.0, 50.79365079365079,
4, 49391, 0, 50.79467919256545, 100.0, 50.79365079365079,
5, 1663619, 0, 97.52232933141542, 99.41176470588235, 97.52227071085946,
6, 74479, 0, 67.3693255817076, 100.0, 67.36842105263156,
7, 74479, 0, 67.3693255817076, 100.0, 67.36842105263156,
8, 75025, 0, 3.0364878373875377, 3.095278532608696, 3.0364473649134966,
9, 63599, 0, 78.89432223777104, 98.0, 78.8930817610063,
10, 697895, 0, 99.04068663624184, 100.0, 99.04054472299597,
11, 63599, 0, 78.89432223777104, 98.0, 78.8930817610063,
12, 63599, 0, 78.89432223777104, 98.0, 78.8930817610063,
13, 37999, 0, 66.02279007342298, 98.0, 66.02105263157894,
14, 930527, 0, 99.04065115789224, 100.0, 99.04054472299599,
15, 63599, 0, 78.89432223777104, 98.0, 78.8930817610063,
16, 930527, 0, 99.04065115789224, 100.0, 99.04054472299599,
17, 63599, 0, 78.89432223777104, 98.0, 78.8930817610063,
18, 63599, 0, 78.89432223777104, 98.0, 78.8930817610063,
19, 930527, 0, 99.04065115789224, 100.0, 99.04054472299599,
20, 63599, 0, 78.89432223777104, 98.0, 78.8930817610063,
21, 232631, 0, 87.17668754379253, 88.02083333333334, 87.17631280305375,
22, 35615, 0, 70.44222939772568, 87.5, 70.44025157232706,
23, 154343, 0, 77.7489098954925, 78.125, 77.74840615767377,
24, 154343, 0, 77.7489098954925, 78.125, 77.74840615767377,
25, 64287, 0, 78.04999455566444, 87.5, 78.04878048780488,
26, 102895, 0, 77.7491617668497, 78.125, 77.74840615767377,
27, 102895, 0, 77.7491617668497, 78.125, 77.74840615767377,
28, 102895, 0, 77.7491617668497, 78.125, 77.74840615767377,
29, 64287, 0, 78.04999455566444, 87.5, 78.04878048780488,
30, 154343, 0, 55.9792151247546, 56.25, 55.97885243352512,
31, 25661, 0, 0.3896964264837691, 0.390625, 0.38968124074507055,
