LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 52802.0, 924075, 1.0, 52851.0, 926400, 74.0, 52881.0, 418976, -18875.0, -1.0, 150528, -6292.0, -1.0, 2400, 52881.0, 65201.0, 394272,
1, 1.0, 314583.0, 9331200, 1.0, 314568.0, 292000, 799.0, 314598.0, 35024, -44040.0, -1.0, 401408, -6292.0, -1.0, 800, 314629.0, 314993.0, 11664,
2, 1.0, 946973.0, 29040000, 1.0, 947309.0, 29184000, 1599.0, 947339.0, 617280, -81789.0, -1.0, 802816, -31457.0, -1.0, 307200, 947339.0, 965488.0, 580800,
3, 1.0, 49361.0, 802816, 1.0, 49361.0, 802816, 63.0, 49391.0, 426496, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 49391.0, 61934.0, 401408,
4, 1.0, 49361.0, 802816, 1.0, 49361.0, 802816, 63.0, 49391.0, 426496, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 49391.0, 61934.0, 401408,
5, 1.0, 1663573.0, 51916800, 1.0, 1663589.0, 52224000, 3199.0, 1663619.0, 551808, -44040.0, -1.0, 401408, -62914.0, -1.0, 614400, 1663619.0, 1679842.0, 519168,
6, 1.0, 74449.0, 1605632, 1.0, 74449.0, 1605632, 127.0, 74479.0, 426496, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 74479.0, 87022.0, 401408,
7, 1.0, 74449.0, 1605632, 1.0, 74449.0, 1605632, 127.0, 74479.0, 426496, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 74479.0, 87022.0, 401408,
8, 1.0, 74347.0, 2332800, 1.0, 74964.0, 73600, 3199.0, 74994.0, 2201, -44040.0, -1.0, 401408, -6292.0, -1.0, 3200, 75025.0, 75047.0, 729,
9, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 63599.0, 69870.0, 200704,
10, 1.0, 697865.0, 22118400, 1.0, 697865.0, 22118400, 6399.0, 697895.0, 117504, -25166.0, -1.0, 200704, -125828.0, -1.0, 1228800, 697895.0, 701350.0, 110592,
11, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 63599.0, 69870.0, 200704,
12, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 63599.0, 69870.0, 200704,
13, 1.0, 37953.0, 802816, 1.0, 37969.0, 819200, 127.0, 37999.0, 213504, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 37999.0, 44270.0, 200704,
14, 1.0, 930497.0, 29491200, 1.0, 930497.0, 29491200, 6399.0, 930527.0, 156672, -25166.0, -1.0, 200704, -169868.0, -1.0, 1638400, 930527.0, 935134.0, 147456,
15, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 63599.0, 69870.0, 200704,
16, 1.0, 930497.0, 29491200, 1.0, 930497.0, 29491200, 6399.0, 930527.0, 156672, -25166.0, -1.0, 200704, -169868.0, -1.0, 1638400, 930527.0, 935134.0, 147456,
17, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 63599.0, 69870.0, 200704,
18, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 63599.0, 69870.0, 200704,
19, 1.0, 930497.0, 29491200, 1.0, 930497.0, 29491200, 6399.0, 930527.0, 156672, -25166.0, -1.0, 200704, -169868.0, -1.0, 1638400, 930527.0, 935134.0, 147456,
20, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 63599.0, 69870.0, 200704,
21, 1.0, 231297.0, 6489600, 1.0, 232601.0, 7372800, 6399.0, 232631.0, 34752, -25166.0, -1.0, 200704, -125828.0, -1.0, 1228800, 232631.0, 233644.0, 32448,
22, 1.0, 35557.0, 802816, 1.0, 35585.0, 917504, 255.0, 35615.0, 107520, -6292.0, -1.0, 50176, -18875.0, -1.0, 131072, 35615.0, 38750.0, 100352,
23, 1.0, 154285.0, 3840000, 1.0, 154313.0, 4915200, 12799.0, 154343.0, 10368, -12583.0, -1.0, 100352, -125828.0, -1.0, 1228800, 154343.0, 154642.0, 9600,
24, 1.0, 154285.0, 3840000, 1.0, 154313.0, 4915200, 12799.0, 154343.0, 10368, -12583.0, -1.0, 100352, -125828.0, -1.0, 1228800, 154343.0, 154642.0, 9600,
25, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 64287.0, 67422.0, 100352,
26, 1.0, 102837.0, 2560000, 1.0, 102865.0, 3276800, 12799.0, 102895.0, 6912, -12583.0, -1.0, 100352, -88080.0, -1.0, 819200, 102895.0, 103094.0, 6400,
27, 1.0, 102837.0, 2560000, 1.0, 102865.0, 3276800, 12799.0, 102895.0, 6912, -12583.0, -1.0, 100352, -88080.0, -1.0, 819200, 102895.0, 103094.0, 6400,
28, 1.0, 102837.0, 2560000, 1.0, 102865.0, 3276800, 12799.0, 102895.0, 6912, -12583.0, -1.0, 100352, -88080.0, -1.0, 819200, 102895.0, 103094.0, 6400,
29, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 64287.0, 67422.0, 100352,
30, 1.0, 151724.0, 2764800, 1.0, 154313.0, 4915200, 12799.0, 154343.0, 7680, -12583.0, -1.0, 100352, -251656.0, -1.0, 2457600, 154343.0, 154558.0, 6912,
31, 1.0, 25603.0, 102400, 1.0, 25600.0, 25600, 25627.0, 25630.0, 68, -6292.0, -1.0, 50176, -6292.0, -1.0, 25600, 25661.0, 25661.0, 4,
