LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 27401.0, 338688, 1.0, 27315.0, 84672, 26.0, 27441.0, 426496, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 27537.0, 30672.0, 401408,
1, 1.0, 51303.0, 3484800, 1.0, 51236.0, 27360, 287.0, 51362.0, 36420, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 51489.0, 51583.0, 12100,
2, 1.0, 41252.0, 3612672, 1.0, 41309.0, 2764800, 575.0, 41435.0, 614912, -81789.0, -1.0, 802816, -12583.0, -1.0, 110592, 41499.0, 46202.0, 602112,
3, 1.0, 7759.0, 200704, 1.0, 7823.0, 204800, 63.0, 7949.0, 407808, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 7949.0, 11084.0, 401408,
4, 1.0, 7759.0, 200704, 1.0, 7823.0, 204800, 63.0, 7949.0, 407808, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 7949.0, 11084.0, 401408,
5, 1.0, 64521.0, 6718464, 1.0, 64485.0, 5087232, 1151.0, 64611.0, 571648, -44040.0, -1.0, 401408, -25166.0, -1.0, 221184, 64675.0, 69048.0, 559872,
6, 1.0, 9359.0, 401408, 1.0, 9423.0, 409600, 127.0, 9549.0, 407808, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 9549.0, 12684.0, 401408,
7, 1.0, 9359.0, 401408, 1.0, 9423.0, 409600, 127.0, 9549.0, 407808, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 9549.0, 12684.0, 401408,
8, 1.0, 9218.0, 903168, 1.0, 9588.0, 8064, 1151.0, 9714.0, 2576, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 9841.0, 9847.0, 784,
9, 1.0, 6901.0, 401408, 1.0, 7013.0, 458752, 255.0, 7139.0, 204288, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 7139.0, 8706.0, 200704,
10, 1.0, 30477.0, 3115008, 1.0, 30505.0, 2654208, 2303.0, 30631.0, 132864, -25166.0, -1.0, 200704, -50332.0, -1.0, 442368, 30695.0, 31708.0, 129792,
