LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12733, 0, 20.78064870808136, 21.09375, 20.676721106509337,
1, 61449, 0, 1.3845322950739638, 1.40625, 1.3774487978628671,
2, 89801, 0, 94.2884823108874, 100.0, 92.53467099439364,
3, 6651, 0, 94.3016087806345, 100.0, 92.53467099439364,
4, 6651, 0, 94.3016087806345, 100.0, 92.53467099439364,
5, 167723, 0, 93.88336721856871, 100.0, 92.01640896181762,
6, 13303, 0, 94.29452003307524, 100.0, 92.53467099439364,
7, 13303, 0, 94.29452003307524, 100.0, 92.53467099439364,
8, 17531, 0, 1.2577719468370316, 1.5625, 1.1812921890067503,
9, 15583, 0, 80.49797856638645, 100.0, 75.60270009643202,
10, 93527, 0, 78.06088081516567, 100.0, 72.76641550053822,
11, 15583, 0, 80.49797856638645, 100.0, 75.60270009643202,
12, 15583, 0, 80.49797856638645, 100.0, 75.60270009643202,
13, 7791, 0, 80.50314465408805, 100.0, 75.60270009643202,
14, 124703, 0, 78.06067215704513, 100.0, 72.76641550053822,
15, 15583, 0, 80.49797856638645, 100.0, 75.60270009643202,
16, 124703, 0, 78.06067215704513, 100.0, 72.76641550053822,
17, 15583, 0, 80.49797856638645, 100.0, 75.60270009643202,
18, 15583, 0, 80.49797856638645, 100.0, 75.60270009643202,
19, 124703, 0, 78.06067215704513, 100.0, 72.76641550053822,
20, 15583, 0, 80.49797856638645, 100.0, 75.60270009643202,
21, 41687, 0, 50.77842013097608, 100.0, 43.652561247216035,
22, 12351, 0, 50.781313253987534, 100.0, 43.652561247216035,
23, 48095, 0, 32.336001663374574, 75.0, 27.204030226700247,
24, 48095, 0, 32.336001663374574, 75.0, 27.204030226700247,
25, 24703, 0, 50.77925758005101, 100.0, 43.652561247216035,
26, 24047, 0, 43.11556535118726, 100.0, 36.272040302267,
27, 24047, 0, 43.11556535118726, 100.0, 36.272040302267,
28, 24047, 0, 43.11556535118726, 100.0, 36.272040302267,
29, 24703, 0, 50.77925758005101, 100.0, 43.652561247216035,
30, 51623, 0, 20.50248920055014, 100.0, 16.225165562913908,
31, 28655, 0, 0.07066829523643343, 1.5625, 0.05367366412213741,
