LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 81595.0, 677376, 1.0, 81613.0, 542592, 26.0, 81631.0, 451648, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 81639.0, 101709.0, 401408,
1, 1.0, 197211.0, 3484800, 1.0, 197192.0, 174240, 287.0, 197210.0, 36300, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 197229.0, 197833.0, 12100,
2, 1.0, 963764.0, 18063360, 1.0, 963953.0, 17362944, 575.0, 963971.0, 664912, -81789.0, -1.0, 802816, -12583.0, -1.0, 110592, 963979.0, 994084.0, 602112,
3, 1.0, 112075.0, 1404928, 1.0, 112067.0, 1286144, 63.0, 112085.0, 445368, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 112097.0, 132167.0, 401408,
4, 1.0, 112075.0, 1404928, 1.0, 112067.0, 1286144, 63.0, 112085.0, 445368, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 112097.0, 132167.0, 401408,
5, 1.0, 1737377.0, 33592320, 1.0, 1737373.0, 32292864, 1151.0, 1737391.0, 618272, -44040.0, -1.0, 401408, -25166.0, -1.0, 221184, 1737399.0, 1765392.0, 559872,
6, 1.0, 182411.0, 2809856, 1.0, 182403.0, 2572288, 127.0, 182421.0, 445368, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 182433.0, 202503.0, 401408,
7, 1.0, 182411.0, 2809856, 1.0, 182403.0, 2572288, 127.0, 182421.0, 445368, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 182433.0, 202503.0, 401408,
8, 1.0, 47180.0, 903168, 1.0, 47562.0, 46080, 1151.0, 47580.0, 2384, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 47599.0, 47638.0, 784,
9, 1.0, 152845.0, 2609152, 1.0, 152857.0, 2621440, 255.0, 152875.0, 221504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 152879.0, 162914.0, 200704,
10, 1.0, 796257.0, 15575040, 1.0, 796253.0, 15040512, 2303.0, 796271.0, 143392, -25166.0, -1.0, 200704, -50332.0, -1.0, 442368, 796279.0, 802768.0, 129792,
11, 1.0, 152845.0, 2609152, 1.0, 152857.0, 2621440, 255.0, 152875.0, 221504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 152879.0, 162914.0, 200704,
12, 1.0, 152845.0, 2609152, 1.0, 152857.0, 2621440, 255.0, 152875.0, 221504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 152879.0, 162914.0, 200704,
13, 1.0, 86285.0, 1304576, 1.0, 86297.0, 1310720, 127.0, 86315.0, 221504, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 86319.0, 96354.0, 200704,
14, 1.0, 1035141.0, 20247552, 1.0, 1035141.0, 20054016, 2303.0, 1035159.0, 190736, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 1035163.0, 1043815.0, 173056,
