LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 21.0, 50263.0, 677376, 1.0, 37826.0, 864, 39.0, 50399.0, 802816, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 50407.0, 90547.0, 802816,
1, 21.0, 182339.0, 3484800, 1.0, 170232.0, 288, 39.0, 182350.0, 181500, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 182369.0, 191443.0, 181500,
2, 21.0, 926180.0, 18063360, 1.0, 923086.0, 110592, 39.0, 926251.0, 17461248, -81789.0, -1.0, 802816, -12583.0, -1.0, 110592, 53405.0, 960459.0, 17461248,
3, 21.0, 89397.0, 1404928, 1.0, 86258.0, 8192, 39.0, 89419.0, 1605632, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 53405.0, 117283.0, 1605632,
4, 21.0, 89397.0, 1404928, 1.0, 86258.0, 8192, 39.0, 89419.0, 1605632, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 53405.0, 117283.0, 1605632,
5, 21.0, 1724893.0, 33592320, 1.0, 1721966.0, 221184, 39.0, 1724911.0, 32472576, -44040.0, -1.0, 401408, -25166.0, -1.0, 221184, 53463.0, 1775682.0, 32472576,
6, 21.0, 156475.0, 2809856, 1.0, 153332.0, 16384, 39.0, 156493.0, 2809856, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 53405.0, 192140.0, 2809856,
7, 21.0, 156475.0, 2809856, 1.0, 153332.0, 16384, 39.0, 156493.0, 2809856, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 53405.0, 192140.0, 2809856,
8, 21.0, 48780.0, 903168, 1.0, 48014.0, 1152, 39.0, 48816.0, 45472, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 48835.0, 51108.0, 45472,
9, 21.0, 142275.0, 2609152, 1.0, 141476.0, 65536, 39.0, 142293.0, 2609152, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 56305.0, 167896.0, 2609152,
