LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 12592.0, 338688, 6.0, 32.0, 864, 63.0, 12637.0, 401408, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 12637.0, 25180.0, 401408,
1, 33.0, 109715.0, 3484800, 1.0, 97584.0, 288, 63.0, 109714.0, 108900, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 109745.0, 113148.0, 108900,
2, 33.0, 348752.0, 10838016, 1.0, 345642.0, 110592, 63.0, 348839.0, 10838016, -81789.0, -1.0, 802816, -12583.0, -1.0, 110592, 33786.0, 359847.0, 10838047,
3, 33.0, 25809.0, 802816, 1.0, 22642.0, 8192, 63.0, 25839.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 25839.0, 50926.0, 802816,
4, 33.0, 25809.0, 802816, 1.0, 22642.0, 8192, 63.0, 25839.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 25839.0, 50926.0, 802816,
5, 33.0, 650129.0, 20155392, 1.0, 647182.0, 221184, 63.0, 650159.0, 20155392, -44040.0, -1.0, 401408, -25166.0, -1.0, 221184, 33880.0, 657423.0, 20155423,
6, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 33786.0, 69087.0, 1605663,
7, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 33786.0, 69087.0, 1605663,
8, 33.0, 31548.0, 903168, 1.0, 30762.0, 1152, 63.0, 31576.0, 28224, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 31607.0, 32488.0, 28224,
9, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 36700.0, 73599.0, 1605663,
10, 33.0, 332609.0, 9345024, 1.0, 331902.0, 442368, 63.0, 332639.0, 9345024, -25166.0, -1.0, 200704, -50332.0, -1.0, 442368, 37358.0, 362527.0, 9345055,
11, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 36700.0, 73599.0, 1605663,
12, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 36700.0, 73599.0, 1605663,
13, 33.0, 28065.0, 802816, 1.0, 27250.0, 32768, 63.0, 28095.0, 802816, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 28095.0, 53182.0, 802816,
14, 33.0, 443489.0, 12460032, 1.0, 442782.0, 589824, 63.0, 443519.0, 12460032, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 37358.0, 472447.0, 12460063,
15, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 36700.0, 73599.0, 1605663,
16, 33.0, 443489.0, 12460032, 1.0, 442782.0, 589824, 63.0, 443519.0, 12460032, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 37358.0, 472447.0, 12460063,
17, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 36700.0, 73599.0, 1605663,
18, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 36700.0, 73599.0, 1605663,
19, 33.0, 443489.0, 12460032, 1.0, 442782.0, 589824, 63.0, 443519.0, 12460032, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 37358.0, 472447.0, 12460063,
20, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 36700.0, 73599.0, 1605663,
21, 33.0, 125234.0, 2709504, 1.0, 125022.0, 442368, 63.0, 125279.0, 2709504, -25166.0, -1.0, 200704, -50332.0, -1.0, 442368, 48544.0, 144415.0, 2709535,
22, 33.0, 37089.0, 802816, 1.0, 36862.0, 131072, 63.0, 37119.0, 802816, -6292.0, -1.0, 50176, -18875.0, -1.0, 131072, 37119.0, 62206.0, 802816,
23, 33.0, 102785.0, 1990656, 1.0, 102610.0, 442368, 63.0, 102815.0, 1990656, -12583.0, -1.0, 100352, -50332.0, -1.0, 442368, 54184.0, 132255.0, 1990687,
24, 33.0, 102785.0, 1990656, 1.0, 102610.0, 442368, 63.0, 102815.0, 1990656, -12583.0, -1.0, 100352, -50332.0, -1.0, 442368, 54184.0, 132255.0, 1990687,
25, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 48544.0, 91647.0, 1605663,
26, 33.0, 68513.0, 1327104, 1.0, 68338.0, 294912, 63.0, 68543.0, 1327104, -12583.0, -1.0, 100352, -31457.0, -1.0, 294912, 54184.0, 77247.0, 1327135,
27, 33.0, 68513.0, 1327104, 1.0, 68338.0, 294912, 63.0, 68543.0, 1327104, -12583.0, -1.0, 100352, -31457.0, -1.0, 294912, 54184.0, 77247.0, 1327135,
