LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 113085.0, 1016064, 1.0, 100652.0, 864, 23.0, 113209.0, 1204224, -5513.0, 110704.0, 891078, -111.0, -1.0, 864, 3979.0, 116289.0, 1204224,
1, 13.0, 291251.0, 3484800, 1.0, 279140.0, 288, 23.0, 291250.0, 290400, -5513.0, 290908.0, 3484800, -111.0, -1.0, 288, 55463.0, 292256.0, 290400,
2, 13.0, 2131514.0, 25288704, 1.0, 2128424.0, 110592, 23.0, 2131579.0, 28901376, -5513.0, 2130191.0, 24988544, -5525.0, 2128415.0, 110592, 4015.0, 2134178.0, 28901376,
3, 13.0, 190299.0, 2007040, 1.0, 187160.0, 8192, 23.0, 190307.0, 2408448, -5513.0, 186672.0, 2007040, -884.0, -1.0, 8192, 4015.0, 192510.0, 2408448,
4, 13.0, 190299.0, 2007040, 1.0, 187160.0, 8192, 23.0, 190307.0, 2408448, -5513.0, 186672.0, 2007040, -884.0, -1.0, 8192, 4015.0, 192510.0, 2408448,
5, 13.0, 3967475.0, 47029248, 1.0, 3964548.0, 221184, 23.0, 3967483.0, 53747712, -5513.0, 3966512.0, 47029248, -5525.0, 3961590.0, 221184, 4015.0, 3971367.0, 53747712,
6, 13.0, 348903.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348907.0, 4415488, -5513.0, 344814.0, 4014080, -1658.0, -1.0, 16384, 4015.0, 352277.0, 4415488,
7, 13.0, 348903.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348907.0, 4415488, -5513.0, 344814.0, 4014080, -1658.0, -1.0, 16384, 4015.0, 352277.0, 4415488,
8, 13.0, 78678.0, 903168, 1.0, 77912.0, 1152, 23.0, 78706.0, 75264, -5513.0, 73706.0, 881792, -221.0, -1.0, 1152, 57839.0, 80145.0, 75264,
9, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
10, 13.0, 1913843.0, 21805056, 1.0, 1913156.0, 442368, 23.0, 1913851.0, 24920064, -5513.0, 1910648.0, 21805056, -5525.0, 1911020.0, 442368, 4159.0, 1916455.0, 24920064,
11, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
12, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
13, 13.0, 171363.0, 1906688, 1.0, 170572.0, 32768, 23.0, 171369.0, 2207744, -5513.0, 168644.0, 1906688, -3315.0, -1.0, 32768, 4159.0, 175033.0, 2207744,
14, 13.0, 2597363.0, 29592576, 1.0, 2596676.0, 589824, 23.0, 2597365.0, 33226752, -5513.0, 2594395.0, 29592576, -5525.0, 2341065.0, 589824, 4159.0, 2600842.0, 33226752,
15, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
16, 13.0, 2597363.0, 29592576, 1.0, 2596676.0, 589824, 23.0, 2597365.0, 33226752, -5513.0, 2594395.0, 29592576, -5525.0, 2341065.0, 589824, 4159.0, 2600842.0, 33226752,
17, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
18, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
19, 13.0, 2597363.0, 29592576, 1.0, 2596676.0, 589824, 23.0, 2597365.0, 33226752, -5513.0, 2594395.0, 29592576, -5525.0, 2341065.0, 589824, 4159.0, 2600842.0, 33226752,
20, 13.0, 342739.0, 3813376, 1.0, 341952.0, 65536, 23.0, 342749.0, 4415488, -5513.0, 342456.0, 3813376, -5525.0, 277171.0, 65536, 4159.0, 346117.0, 4415488,
21, 13.0, 623588.0, 6322176, 1.0, 623396.0, 442368, 23.0, 623611.0, 7225344, -5513.0, 617743.0, 5466258, -5525.0, 622700.0, 442368, 4699.0, 626238.0, 7225344,
