LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12816.0, 338688, 230.0, 256.0, 864, 511.0, 13085.0, 401408, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 13309.0, 14876.0, 401408,
1, 257.0, 25253.0, 3484800, 1.0, 13122.0, 288, 511.0, 25476.0, 24200, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 25731.0, 25825.0, 24200,
2, 257.0, 11202.0, 1806336, 1.0, 8060.0, 110592, 511.0, 11641.0, 1806336, -81789.0, -1.0, 802816, -12583.0, -1.0, 110592, 6833.0, 14665.0, 1806591,
3, 257.0, 3455.0, 200704, 193.0, 256.0, 8192, 511.0, 3773.0, 401408, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 3901.0, 5468.0, 401408,
4, 257.0, 3455.0, 200704, 193.0, 256.0, 8192, 511.0, 3773.0, 401408, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 3901.0, 5468.0, 401408,
5, 257.0, 18027.0, 3359232, 1.0, 14984.0, 221184, 511.0, 18345.0, 2799360, -44040.0, -1.0, 401408, -25166.0, -1.0, 221184, 6833.0, 21152.0, 2799615,
6, 257.0, 3519.0, 401408, 129.0, 256.0, 16384, 511.0, 3773.0, 401408, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 3901.0, 5468.0, 401408,
7, 257.0, 3519.0, 401408, 129.0, 256.0, 16384, 511.0, 3773.0, 401408, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 3901.0, 5468.0, 401408,
8, 257.0, 7338.0, 903168, 1.0, 6456.0, 1152, 511.0, 7494.0, 3920, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 7749.0, 7764.0, 3920,
9, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
10, 257.0, 12723.0, 1557504, 1.0, 11792.0, 442368, 511.0, 12913.0, 1168128, -25166.0, -1.0, 200704, -50332.0, -1.0, 442368, 12189.0, 13444.0, 1168383,
11, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
12, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
13, 257.0, 1167.0, 100352, 129.0, 256.0, 32768, 511.0, 1549.0, 200704, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1549.0, 2332.0, 200704,
14, 257.0, 12723.0, 1557504, 1.0, 11792.0, 589824, 511.0, 12977.0, 1557504, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 9305.0, 14965.0, 1557759,
15, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
16, 257.0, 12723.0, 1557504, 1.0, 11792.0, 589824, 511.0, 12977.0, 1557504, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 9305.0, 14965.0, 1557759,
17, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
18, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
19, 257.0, 12723.0, 1557504, 1.0, 11792.0, 589824, 511.0, 12977.0, 1557504, -25166.0, -1.0, 200704, -62914.0, -1.0, 589824, 9305.0, 14965.0, 1557759,
20, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
21, 257.0, 8388.0, 451584, 1.0, 7952.0, 442368, 511.0, 8593.0, 338688, -25166.0, -1.0, 200704, -50332.0, -1.0, 442368, 8657.0, 9979.0, 338688,
22, 257.0, 1669.0, 100352, 1.0, 1218.0, 131072, 511.0, 1923.0, 100352, -6292.0, -1.0, 50176, -18875.0, -1.0, 131072, 1923.0, 2314.0, 100352,
23, 257.0, 16125.0, 663552, 1.0, 15726.0, 442368, 511.0, 16219.0, 248832, -12583.0, -1.0, 100352, -50332.0, -1.0, 442368, 16379.0, 17350.0, 248832,
24, 257.0, 16125.0, 663552, 1.0, 15726.0, 442368, 511.0, 16219.0, 248832, -12583.0, -1.0, 100352, -50332.0, -1.0, 442368, 16379.0, 17350.0, 248832,
25, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 3847.0, 4630.0, 200704,
26, 257.0, 16125.0, 663552, 1.0, 15726.0, 294912, 511.0, 16187.0, 165888, -12583.0, -1.0, 100352, -31457.0, -1.0, 294912, 16379.0, 17026.0, 165888,
27, 257.0, 16125.0, 663552, 1.0, 15726.0, 294912, 511.0, 16187.0, 165888, -12583.0, -1.0, 100352, -31457.0, -1.0, 294912, 16379.0, 17026.0, 165888,
28, 257.0, 16125.0, 663552, 1.0, 15726.0, 294912, 511.0, 16187.0, 165888, -12583.0, -1.0, 100352, -31457.0, -1.0, 294912, 16379.0, 17026.0, 165888,
29, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 3847.0, 4630.0, 200704,
30, 257.0, 14407.0, 225792, 1.0, 14111.0, 884736, 511.0, 14605.0, 169344, -12583.0, -1.0, 100352, -94371.0, -1.0, 884736, 14669.0, 15330.0, 169344,
31, 257.0, 27645.0, 82944, 1.0, 27381.0, 9216, 511.0, 27644.0, 324, -6292.0, -1.0, 50176, -6292.0, -1.0, 9216, 27899.0, 27900.0, 324,
