LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 27401.0, 338688, 1.0, 27315.0, 84672, 26.0, 27441.0, 426496, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 27537.0, 30672.0, 401408,
1, 1.0, 51303.0, 3484800, 1.0, 51236.0, 27360, 287.0, 51362.0, 36420, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 51489.0, 51583.0, 12100,
2, 1.0, 27901.0, 401408, 1.0, 27837.0, 200704, 31.0, 27963.0, 827904, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 28027.0, 34298.0, 802816,
3, 1.0, 20502.0, 1806336, 1.0, 20496.0, 14400, 575.0, 20622.0, 9536, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 20749.0, 20773.0, 3136,
4, 1.0, 7759.0, 200704, 1.0, 7823.0, 204800, 63.0, 7949.0, 407808, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 7949.0, 11084.0, 401408,
5, 1.0, 32183.0, 3359232, 1.0, 32084.0, 26496, 1151.0, 32210.0, 8804, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 32337.0, 32359.0, 2916,
6, 1.0, 9359.0, 401408, 1.0, 9423.0, 409600, 127.0, 9549.0, 407808, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 9549.0, 12684.0, 401408,
7, 1.0, 9218.0, 903168, 1.0, 9588.0, 8064, 1151.0, 9714.0, 2576, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 9841.0, 9847.0, 784,
8, 1.0, 5109.0, 200704, 1.0, 5221.0, 229376, 127.0, 5347.0, 204288, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 5347.0, 6914.0, 200704,
9, 1.0, 15129.0, 1557504, 1.0, 15094.0, 13824, 2303.0, 15220.0, 2212, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 15347.0, 15352.0, 676,
10, 1.0, 6901.0, 401408, 1.0, 7013.0, 458752, 255.0, 7139.0, 204288, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 7139.0, 8706.0, 200704,
