LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 12624.0, 338688, 38.0, 64.0, 864, 127.0, 12701.0, 401408, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 12733.0, 19004.0, 401408,
1, 65.0, 61355.0, 3484800, 1.0, 49224.0, 288, 127.0, 61386.0, 60500, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 61449.0, 62394.0, 60500,
2, 65.0, 12639.0, 401408, 33.0, 64.0, 2048, 127.0, 12733.0, 802816, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 12733.0, 25276.0, 802816,
3, 65.0, 29814.0, 1806336, 1.0, 26672.0, 576, 127.0, 29870.0, 28224, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 29933.0, 30373.0, 28224,
4, 65.0, 6589.0, 401408, 1.0, 3390.0, 8192, 127.0, 6651.0, 401408, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 6651.0, 12922.0, 401408,
5, 65.0, 55845.0, 3359232, 1.0, 52866.0, 1152, 127.0, 55844.0, 52488, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 55907.0, 56727.0, 52488,
6, 65.0, 13241.0, 802816, 1.0, 10042.0, 16384, 127.0, 13303.0, 802816, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 13303.0, 25846.0, 802816,
7, 65.0, 17440.0, 903168, 1.0, 16622.0, 1152, 127.0, 17468.0, 14112, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 17531.0, 17751.0, 14112,
8, 65.0, 7729.0, 401408, 1.0, 6882.0, 32768, 127.0, 7791.0, 401408, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 7791.0, 14062.0, 401408,
9, 65.0, 31113.0, 1557504, 1.0, 30374.0, 2304, 127.0, 31112.0, 24336, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 31175.0, 31555.0, 24336,
10, 65.0, 15521.0, 802816, 1.0, 14674.0, 65536, 127.0, 15583.0, 802816, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 15583.0, 28126.0, 802816,
11, 65.0, 13818.0, 451584, 1.0, 13574.0, 2304, 127.0, 13832.0, 7056, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 13895.0, 14005.0, 7056,
12, 65.0, 12289.0, 401408, 1.0, 12030.0, 131072, 127.0, 12351.0, 401408, -6292.0, -1.0, 50176, -18875.0, -1.0, 131072, 12351.0, 18622.0, 401408,
13, 65.0, 23985.0, 663552, 1.0, 23778.0, 4608, 127.0, 23984.0, 10368, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 24047.0, 24208.0, 10368,
14, 65.0, 24641.0, 802816, 1.0, 24382.0, 262144, 127.0, 24703.0, 802816, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 24703.0, 37246.0, 802816,
15, 65.0, 23985.0, 663552, 1.0, 23778.0, 4608, 127.0, 23984.0, 10368, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 24047.0, 24208.0, 10368,
16, 65.0, 24641.0, 802816, 1.0, 24382.0, 262144, 127.0, 24703.0, 802816, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 24703.0, 37246.0, 802816,
17, 65.0, 23985.0, 663552, 1.0, 23778.0, 4608, 127.0, 23984.0, 10368, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 24047.0, 24208.0, 10368,
18, 65.0, 24641.0, 802816, 1.0, 24382.0, 262144, 127.0, 24703.0, 802816, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 24703.0, 37246.0, 802816,
19, 65.0, 23985.0, 663552, 1.0, 23778.0, 4608, 127.0, 23984.0, 10368, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 24047.0, 24208.0, 10368,
