LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 112880.0, 338688, 21.0, 113008.0, 542592, 39.0, 113023.0, 802816, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 113039.0, 153179.0, 802816,
1, 1.0, 535386.0, 3484800, 21.0, 535394.0, 174240, 39.0, 535424.0, 181500, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 535424.0, 544498.0, 181500,
2, 1.0, 153130.0, 401408, 21.0, 153205.0, 1286144, 39.0, 153215.0, 1605632, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 99979.0, 181083.0, 1605632,
3, 1.0, 268057.0, 1806336, 21.0, 268604.0, 90432, 39.0, 268622.0, 90944, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 268626.0, 273173.0, 90944,
4, 1.0, 116642.0, 200704, 21.0, 116773.0, 1286144, 39.0, 116803.0, 1605632, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 76199.0, 144659.0, 1605632,
5, 1.0, 499573.0, 3359232, 21.0, 499585.0, 168192, 39.0, 499607.0, 169128, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 499611.0, 508067.0, 169128,
6, 1.0, 204248.0, 401408, 21.0, 204383.0, 2572288, 39.0, 204409.0, 2809856, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 76199.0, 240048.0, 2809856,
7, 1.0, 135720.0, 903168, 21.0, 136853.0, 46080, 39.0, 136863.0, 45472, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 136879.0, 139152.0, 45472,
8, 1.0, 87626.0, 100352, 21.0, 87889.0, 1310720, 39.0, 87903.0, 1404928, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 64309.0, 105736.0, 1404928,
9, 1.0, 232657.0, 1557504, 21.0, 232661.0, 78336, 39.0, 232691.0, 78416, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 232695.0, 236615.0, 78416,
