LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 81639, 0, 33.18884356741263, 79.89808917197452, 33.188437040666344,
1, 197229, 0, 4.4172003102991955, 5.0, 4.41717791411043,
2, 175839, 0, 36.52504848184987, 79.89808917197452, 36.52484076433121,
3, 96397, 0, 4.68462711495171, 4.993630573248408, 4.684578518226519,
4, 112097, 0, 57.294378975351705, 91.31210191082802, 57.293867865617585,
5, 173739, 0, 4.8337333586586775, 4.993150684931507, 4.833705537009324,
6, 182433, 0, 70.40971754013802, 91.31210191082802, 70.4093315938915,
7, 47599, 0, 4.74362906783756, 4.9, 4.743529411764706,
8, 86319, 0, 74.40456909834451, 96.49230769230769, 74.40370713623726,
9, 79627, 0, 4.889999623243372, 4.970588235294119, 4.889938212689004,
10, 152879, 0, 84.02106240883313, 96.49230769230769, 84.02051282051282,
11, 23419, 0, 4.820701140099919, 4.9, 4.820495303159693,
12, 76439, 0, 84.02161200434334, 96.49230769230769, 84.02051282051282,
13, 37167, 0, 4.463314230365647, 4.500000000000001, 4.4631941455015065,
14, 142999, 0, 89.82619458877335, 96.49230769230769, 89.82556643356642,
15, 37167, 0, 4.463314230365647, 4.500000000000001, 4.4631941455015065,
16, 142999, 0, 89.82619458877335, 96.49230769230769, 89.82556643356642,
17, 37167, 0, 4.463314230365647, 4.500000000000001, 4.4631941455015065,
18, 142999, 0, 89.82619458877335, 96.49230769230769, 89.82556643356642,
19, 37167, 0, 4.463314230365647, 4.500000000000001, 4.4631941455015065,
20, 142999, 0, 89.82619458877335, 96.49230769230769, 89.82556643356642,
21, 37167, 0, 4.463314230365647, 4.500000000000001, 4.4631941455015065,
22, 142999, 0, 89.82619458877335, 96.49230769230769, 89.82556643356642,
23, 13937, 0, 4.050226017076846, 4.083333333333333, 4.049935428325441,
24, 85799, 0, 74.85551113649343, 80.41025641025641, 74.85463869463868,
25, 9253, 0, 2.2410029179725495, 2.25, 2.240760752107197,
26, 165671, 0, 77.53352125598325, 80.41025641025641, 77.53305326186681,
