LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 81595.0, 677376, 1.0, 81613.0, 542592, 26.0, 81631.0, 451648, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 81639.0, 101709.0, 401408,
1, 1.0, 197211.0, 3484800, 1.0, 197192.0, 174240, 287.0, 197210.0, 36300, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 197229.0, 197833.0, 12100,
2, 1.0, 175805.0, 1605632, 1.0, 175805.0, 1286144, 31.0, 175823.0, 903296, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 175839.0, 215979.0, 802816,
3, 1.0, 96182.0, 1806336, 1.0, 96360.0, 90432, 575.0, 96378.0, 9416, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 96397.0, 96553.0, 3136,
4, 1.0, 112075.0, 1404928, 1.0, 112067.0, 1286144, 63.0, 112085.0, 445368, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 112097.0, 132167.0, 401408,
5, 1.0, 173717.0, 3359232, 1.0, 173702.0, 168192, 1151.0, 173720.0, 8756, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 173739.0, 173884.0, 2916,
6, 1.0, 182411.0, 2809856, 1.0, 182403.0, 2572288, 127.0, 182421.0, 445368, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 182433.0, 202503.0, 401408,
7, 1.0, 47180.0, 903168, 1.0, 47562.0, 46080, 1151.0, 47580.0, 2384, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 47599.0, 47638.0, 784,
8, 1.0, 86285.0, 1304576, 1.0, 86297.0, 1310720, 127.0, 86315.0, 221504, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 86319.0, 96354.0, 200704,
9, 1.0, 79605.0, 1557504, 1.0, 79590.0, 78336, 2303.0, 79608.0, 2036, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 79627.0, 79660.0, 676,
10, 1.0, 152845.0, 2609152, 1.0, 152857.0, 2621440, 255.0, 152875.0, 221504, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 152879.0, 162914.0, 200704,
11, 1.0, 23382.0, 451584, 1.0, 23382.0, 23040, 2303.0, 23400.0, 596, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 23419.0, 23428.0, 196,
12, 1.0, 76417.0, 1304576, 1.0, 76413.0, 1310720, 255.0, 76431.0, 110752, -6292.0, -1.0, 50176, -18875.0, -1.0, 131072, 76439.0, 81456.0, 100352,
13, 1.0, 37133.0, 663552, 1.0, 37130.0, 36864, 4607.0, 37148.0, 464, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 37167.0, 37174.0, 144,
14, 1.0, 142977.0, 2609152, 1.0, 142973.0, 2621440, 511.0, 142991.0, 110752, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 142999.0, 148016.0, 100352,
