LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 50407, 0, 53.75253437022636, 54.0, 53.670549084858564,
1, 182369, 0, 4.777127691658122, 4.800000000000001, 4.769647696476965,
2, 100815, 0, 63.70607548479889, 64.0, 63.609539656128675,
3, 92625, 0, 4.8754008097165995, 4.9655172413793105, 4.846517917511832,
4, 89431, 0, 71.81545549082533, 73.14285714285714, 71.38997821350762,
5, 172491, 0, 4.86870619336661, 4.9655172413793105, 4.837770890698987,
6, 156505, 0, 82.07441295805246, 83.59183673469389, 81.58854652972299,
7, 48835, 0, 4.623569161462066, 4.9655172413793105, 4.521446593776282,
8, 76621, 0, 83.82203312407826, 90.02197802197801, 81.97123202001251,
9, 85143, 0, 4.573200380536274, 4.9655172413793105, 4.457755186151944,
10, 142297, 0, 90.26933807459046, 96.94674556213018, 88.27671140616732,
11, 29463, 0, 3.8317890235210266, 4.9655172413793105, 3.5649867374005306,
12, 85851, 0, 74.81017111041223, 96.94674556213018, 69.60279168563193,
13, 46661, 0, 3.555174556910482, 4.987012987012988, 3.2494564259270144,
14, 171703, 0, 74.8097354152228, 96.94674556213018, 69.60279168563193,
15, 46661, 0, 3.555174556910482, 4.987012987012988, 3.2494564259270144,
16, 171703, 0, 74.8097354152228, 96.94674556213018, 69.60279168563193,
17, 46661, 0, 3.555174556910482, 4.987012987012988, 3.2494564259270144,
18, 171703, 0, 74.8097354152228, 96.94674556213018, 69.60279168563193,
19, 46661, 0, 3.555174556910482, 4.987012987012988, 3.2494564259270144,
20, 171703, 0, 74.8097354152228, 96.94674556213018, 69.60279168563193,
21, 46661, 0, 3.555174556910482, 4.987012987012988, 3.2494564259270144,
22, 171703, 0, 74.8097354152228, 96.94674556213018, 69.60279168563193,
23, 24716, 0, 2.2838647030263797, 4.987012987012988, 1.9393939393939397,
24, 144663, 0, 44.39648009511762, 96.94674556213018, 37.70151216305062,
25, 30886, 0, 0.6713721427183837, 4.997830802603037, 0.5230288049235736,
26, 289327, 0, 44.39632664770312, 96.94674556213018, 37.70151216305062,
