LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 21.0, 50263.0, 677376, 1.0, 37826.0, 864, 39.0, 50399.0, 802816, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 50407.0, 90547.0, 802816,
1, 21.0, 182339.0, 3484800, 1.0, 170232.0, 288, 39.0, 182350.0, 181500, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 182369.0, 191443.0, 181500,
2, 21.0, 100789.0, 1605632, 1.0, 88234.0, 2048, 39.0, 100799.0, 1605632, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 52709.0, 128667.0, 1605632,
3, 21.0, 92546.0, 1806336, 1.0, 89452.0, 576, 39.0, 92606.0, 90944, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 92625.0, 97172.0, 90944,
4, 21.0, 89397.0, 1404928, 1.0, 86258.0, 8192, 39.0, 89419.0, 1605632, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 53405.0, 117283.0, 1605632,
5, 21.0, 172465.0, 3359232, 1.0, 169538.0, 1152, 39.0, 172472.0, 169128, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 172491.0, 180947.0, 169128,
6, 21.0, 156475.0, 2809856, 1.0, 153332.0, 16384, 39.0, 156493.0, 2809856, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 53405.0, 192140.0, 2809856,
7, 21.0, 48780.0, 903168, 1.0, 48014.0, 1152, 39.0, 48816.0, 45472, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 48835.0, 51108.0, 45472,
8, 21.0, 76591.0, 1304576, 1.0, 75800.0, 32768, 39.0, 76617.0, 1404928, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 56305.0, 94438.0, 1404928,
9, 21.0, 85109.0, 1557504, 1.0, 84430.0, 2304, 39.0, 85124.0, 78416, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 85143.0, 89063.0, 78416,
