LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 122242.0, 338688, 17.0, 122284.0, 677376, 31.0, 122303.0, 802816, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 122303.0, 172478.0, 802816,
1, 1.0, 640391.0, 3484800, 17.0, 640407.0, 218016, 31.0, 640409.0, 217800, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 640421.0, 654033.0, 217800,
2, 1.0, 172386.0, 401408, 17.0, 172465.0, 1605632, 31.0, 172479.0, 1605632, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 112671.0, 207295.0, 1605647,
3, 1.0, 331037.0, 1806336, 17.0, 331617.0, 112896, 31.0, 331631.0, 112896, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 331631.0, 338686.0, 112896,
4, 1.0, 136258.0, 200704, 17.0, 136401.0, 1605632, 31.0, 136415.0, 1605632, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 89119.0, 171231.0, 1605647,
5, 1.0, 619241.0, 3359232, 17.0, 619257.0, 210816, 31.0, 619259.0, 209952, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 619271.0, 632392.0, 209952,
6, 1.0, 272674.0, 401408, 17.0, 272817.0, 3211264, 31.0, 272831.0, 3211264, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 89119.0, 276927.0, 3211279,
7, 1.0, 164657.0, 903168, 17.0, 165801.0, 56448, 31.0, 165815.0, 56448, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 165815.0, 169342.0, 56448,
8, 1.0, 118098.0, 100352, 17.0, 118369.0, 1605632, 31.0, 118383.0, 1605632, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 77343.0, 153199.0, 1605647,
9, 1.0, 290993.0, 1557504, 17.0, 291009.0, 99072, 31.0, 291011.0, 97344, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 291023.0, 297106.0, 97344,
10, 1.0, 236482.0, 200704, 17.0, 236753.0, 3211264, 31.0, 236767.0, 3211264, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 77343.0, 240863.0, 3211279,
11, 1.0, 85697.0, 451584, 17.0, 87969.0, 29952, 31.0, 87971.0, 28224, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 87983.0, 89746.0, 28224,
12, 1.0, 115522.0, 50176, 17.0, 116049.0, 1703936, 31.0, 116051.0, 1605632, -6292.0, -1.0, 50176, -18875.0, -1.0, 131072, 71455.0, 150879.0, 1605647,
13, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 41472, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 121823.0, 124414.0, 41472,
14, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 3211264, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 71455.0, 236223.0, 3211279,
15, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 41472, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 121823.0, 124414.0, 41472,
16, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 3211264, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 71455.0, 236223.0, 3211279,
17, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 41472, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 121823.0, 124414.0, 41472,
18, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 3211264, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 71455.0, 236223.0, 3211279,
19, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 41472, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 121823.0, 124414.0, 41472,
20, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 3211264, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 71455.0, 236223.0, 3211279,
21, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 41472, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 121823.0, 124414.0, 41472,
22, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 3211264, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 71455.0, 236223.0, 3211279,
23, 1.0, 48097.0, 225792, 17.0, 54129.0, 18432, 31.0, 54128.0, 14112, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 54143.0, 55024.0, 14112,
