LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12816.0, 338688, 230.0, 256.0, 864, 511.0, 13085.0, 401408, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 13309.0, 14876.0, 401408,
1, 257.0, 25253.0, 3484800, 1.0, 13122.0, 288, 511.0, 25476.0, 24200, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 25731.0, 25825.0, 24200,
2, 257.0, 12831.0, 401408, 225.0, 256.0, 2048, 511.0, 13117.0, 802816, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 13309.0, 16444.0, 802816,
3, 257.0, 11202.0, 1806336, 1.0, 8060.0, 576, 511.0, 11450.0, 9408, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 11705.0, 11741.0, 9408,
4, 257.0, 3455.0, 200704, 193.0, 256.0, 8192, 511.0, 3773.0, 401408, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 3901.0, 5468.0, 401408,
5, 257.0, 18027.0, 3359232, 1.0, 14984.0, 1152, 511.0, 18154.0, 14580, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 18409.0, 18465.0, 14580,
6, 257.0, 3519.0, 401408, 129.0, 256.0, 16384, 511.0, 3773.0, 401408, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 3901.0, 5468.0, 401408,
7, 257.0, 7338.0, 903168, 1.0, 6456.0, 1152, 511.0, 7494.0, 3920, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 7749.0, 7764.0, 3920,
8, 257.0, 1167.0, 100352, 129.0, 256.0, 32768, 511.0, 1549.0, 200704, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 1549.0, 2332.0, 200704,
9, 257.0, 12723.0, 1557504, 1.0, 11792.0, 2304, 511.0, 12722.0, 6084, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 12977.0, 13000.0, 6084,
10, 257.0, 1295.0, 200704, 1.0, 256.0, 65536, 511.0, 1549.0, 200704, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 1549.0, 2332.0, 200704,
11, 257.0, 8388.0, 451584, 1.0, 7952.0, 2304, 511.0, 8402.0, 1764, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 8657.0, 8663.0, 1764,
12, 257.0, 1669.0, 100352, 1.0, 1218.0, 131072, 511.0, 1923.0, 100352, -6292.0, -1.0, 50176, -18875.0, -1.0, 131072, 1923.0, 2314.0, 100352,
13, 257.0, 16125.0, 663552, 1.0, 15726.0, 4608, 511.0, 16124.0, 2592, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 16379.0, 16389.0, 2592,
14, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 3847.0, 4630.0, 200704,
15, 257.0, 16125.0, 663552, 1.0, 15726.0, 4608, 511.0, 16124.0, 2592, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 16379.0, 16389.0, 2592,
16, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 3847.0, 4630.0, 200704,
17, 257.0, 16125.0, 663552, 1.0, 15726.0, 4608, 511.0, 16124.0, 2592, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 16379.0, 16389.0, 2592,
18, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 3847.0, 4630.0, 200704,
19, 257.0, 16125.0, 663552, 1.0, 15726.0, 4608, 511.0, 16124.0, 2592, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 16379.0, 16389.0, 2592,
20, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 3847.0, 4630.0, 200704,
21, 257.0, 16125.0, 663552, 1.0, 15726.0, 4608, 511.0, 16124.0, 2592, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 16379.0, 16389.0, 2592,
22, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -12583.0, -1.0, 100352, -31457.0, -1.0, 262144, 3847.0, 4630.0, 200704,
23, 257.0, 14407.0, 225792, 1.0, 14111.0, 4608, 511.0, 14414.0, 882, -12583.0, -1.0, 100352, -6292.0, -1.0, 4608, 14669.0, 14672.0, 882,
24, 257.0, 6265.0, 100352, 1.0, 5961.0, 524288, 511.0, 6519.0, 100352, -6292.0, -1.0, 25088, -56623.0, -1.0, 524288, 6519.0, 6910.0, 100352,
25, 257.0, 27645.0, 82944, 1.0, 27381.0, 9216, 511.0, 27644.0, 324, -6292.0, -1.0, 50176, -6292.0, -1.0, 9216, 27899.0, 27900.0, 324,
26, 257.0, 12785.0, 200704, 1.0, 12481.0, 1048576, 511.0, 13039.0, 200704, -6292.0, -1.0, 50176, -106954.0, -1.0, 1048576, 13039.0, 13822.0, 200704,
