LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 26048.0, 338688, 1.0, 25834.0, 42336, 26.0, 26088.0, 426496, -18875.0, -1.0, 150528, -6292.0, -1.0, 864, 26312.0, 27879.0, 401408,
1, 1.0, 37861.0, 3484800, 1.0, 37794.0, 13824, 287.0, 38048.0, 36676, -44040.0, -1.0, 401408, -6292.0, -1.0, 288, 38303.0, 38350.0, 12100,
2, 1.0, 26303.0, 401408, 1.0, 26111.0, 100352, 31.0, 26365.0, 827904, -44040.0, -1.0, 401408, -6292.0, -1.0, 2048, 26557.0, 29692.0, 802816,
3, 1.0, 13614.0, 1806336, 1.0, 13608.0, 7488, 575.0, 13862.0, 9792, -81789.0, -1.0, 802816, -6292.0, -1.0, 576, 14117.0, 14129.0, 3136,
4, 1.0, 7015.0, 200704, 1.0, 7079.0, 106496, 63.0, 7333.0, 408064, -25166.0, -1.0, 200704, -6292.0, -1.0, 8192, 7461.0, 9028.0, 401408,
5, 1.0, 19533.0, 3359232, 1.0, 19434.0, 13824, 1151.0, 19688.0, 9060, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 19943.0, 19954.0, 2916,
6, 1.0, 7847.0, 401408, 1.0, 7911.0, 212992, 127.0, 8165.0, 408064, -44040.0, -1.0, 401408, -6292.0, -1.0, 16384, 8293.0, 9860.0, 401408,
7, 1.0, 5768.0, 903168, 1.0, 6138.0, 4608, 1151.0, 6392.0, 2832, -44040.0, -1.0, 401408, -6292.0, -1.0, 1152, 6647.0, 6650.0, 784,
8, 1.0, 2057.0, 100352, 1.0, 2297.0, 131072, 127.0, 2551.0, 202752, -12583.0, -1.0, 100352, -6292.0, -1.0, 32768, 2551.0, 3334.0, 200704,
9, 1.0, 8095.0, 1557504, 1.0, 7932.0, 6912, 2303.0, 8186.0, 2212, -25166.0, -1.0, 200704, -6292.0, -1.0, 2304, 8441.0, 8443.0, 676,
10, 1.0, 2569.0, 200704, 1.0, 2809.0, 262144, 255.0, 3063.0, 202752, -25166.0, -1.0, 200704, -12583.0, -1.0, 65536, 3063.0, 3846.0, 200704,
