Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,224,224,3,3,3,32,2,
Conv2,112,112,3,3,32,1,1,
Conv3,112,112,3,3,64,192,2,
Conv4,56,56,1,1,64,128,1,
Conv5,56,56,1,1,64,128,1,
Conv6,56,56,3,3,128,192,1,
Conv7,56,56,1,1,128,128,1,
Conv8,56,56,1,1,128,128,1,
Conv9,56,56,3,3,128,1,2,
Conv10,28,28,1,1,256,256,1,
Conv11,28,28,3,3,256,192,1,
Conv12,28,28,1,1,256,256,1,
Conv13,28,28,1,1,256,256,1,
Conv14,28,28,1,1,128,256,1,
Conv15,28,28,3,3,256,256,1,
Conv16,28,28,1,1,256,256,1,
Conv17,28,28,3,3,256,256,1,
Conv18,28,28,1,1,256,256,1,
Conv19,28,28,1,1,256,256,1,
Conv20,28,28,3,3,256,256,1,
Conv21,28,28,1,1,256,256,1,
Conv22,28,28,3,3,256,192,2,
Conv23,14,14,1,1,256,512,1,
Conv24,14,14,3,3,512,96,1,
Conv25,14,14,3,3,512,96,1,
Conv26,14,14,1,1,512,512,1,
Conv27,14,14,3,3,512,64,1,
Conv28,14,14,3,3,512,64,1,
Conv29,14,14,3,3,512,64,1,
Conv30,14,14,1,1,512,512,1,
Conv31,14,14,3,3,512,192,2,
Conv32,7,7,3,3,1024,1,2,
